=== Task 1 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-5
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-5
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-05 | train/loss: 7.794e+00 | train/loss_avg: 8.665e+00 | train/ppl: 2.426e+03 | train/ppl_avg: 5.796e+03 | optim/grad_norm: 1.852e+00 | optim/update_norm: 2.233e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-05 | train/loss: 7.082e+00 | train/loss_avg: 7.330e+00 | train/ppl: 1.190e+03 | train/ppl_avg: 1.526e+03 | optim/grad_norm: 1.177e+00 | optim/update_norm: 1.928e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-05 | train/loss: 6.629e+00 | train/loss_avg: 6.752e+00 | train/ppl: 7.566e+02 | train/ppl_avg: 8.556e+02 | optim/grad_norm: 1.651e+00 | optim/update_norm: 1.758e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-05 | train/loss: 6.196e+00 | train/loss_avg: 6.377e+00 | train/ppl: 4.909e+02 | train/ppl_avg: 5.880e+02 | optim/grad_norm: 1.202e+00 | optim/update_norm: 1.574e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-05 | train/loss: 5.993e+00 | train/loss_avg: 6.118e+00 | train/ppl: 4.007e+02 | train/ppl_avg: 4.539e+02 | optim/grad_norm: 1.389e+00 | optim/update_norm: 1.438e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-05 | train/loss: 5.824e+00 | train/loss_avg: 5.914e+00 | train/ppl: 3.385e+02 | train/ppl_avg: 3.702e+02 | optim/grad_norm: 1.898e+00 | optim/update_norm: 1.356e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-05 | train/loss: 5.575e+00 | train/loss_avg: 5.750e+00 | train/ppl: 2.638e+02 | train/ppl_avg: 3.143e+02 | optim/grad_norm: 1.470e+00 | optim/update_norm: 1.288e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-05 | train/loss: 5.514e+00 | train/loss_avg: 5.623e+00 | train/ppl: 2.481e+02 | train/ppl_avg: 2.768e+02 | optim/grad_norm: 2.460e+00 | optim/update_norm: 1.248e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-05 | train/loss: 5.589e+00 | train/loss_avg: 5.499e+00 | train/ppl: 2.675e+02 | train/ppl_avg: 2.443e+02 | optim/grad_norm: 2.190e+00 | optim/update_norm: 1.215e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-05 | train/loss: 5.245e+00 | train/loss_avg: 5.394e+00 | train/ppl: 1.896e+02 | train/ppl_avg: 2.201e+02 | optim/grad_norm: 2.507e+00 | optim/update_norm: 1.201e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-05 | train/loss: 5.225e+00 | train/loss_avg: 5.300e+00 | train/ppl: 1.858e+02 | train/ppl_avg: 2.004e+02 | optim/grad_norm: 1.586e+00 | optim/update_norm: 1.156e-01 | optim/lr_eff: 3.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
