=== Task 0 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-5
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-5
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-05 | train/loss: 8.619e+00 | train/loss_avg: 9.142e+00 | train/ppl: 5.537e+03 | train/ppl_avg: 9.341e+03 | optim/grad_norm: 1.600e+00 | optim/update_norm: 9.099e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-05 | train/loss: 7.988e+00 | train/loss_avg: 8.219e+00 | train/ppl: 2.944e+03 | train/ppl_avg: 3.709e+03 | optim/grad_norm: 1.500e+00 | optim/update_norm: 8.258e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-05 | train/loss: 7.536e+00 | train/loss_avg: 7.695e+00 | train/ppl: 1.874e+03 | train/ppl_avg: 2.197e+03 | optim/grad_norm: 1.356e+00 | optim/update_norm: 7.812e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-05 | train/loss: 7.089e+00 | train/loss_avg: 7.318e+00 | train/ppl: 1.198e+03 | train/ppl_avg: 1.507e+03 | optim/grad_norm: 1.197e+00 | optim/update_norm: 7.340e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-05 | train/loss: 6.905e+00 | train/loss_avg: 7.034e+00 | train/ppl: 9.970e+02 | train/ppl_avg: 1.135e+03 | optim/grad_norm: 1.508e+00 | optim/update_norm: 6.789e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-05 | train/loss: 6.686e+00 | train/loss_avg: 6.801e+00 | train/ppl: 8.014e+02 | train/ppl_avg: 8.987e+02 | optim/grad_norm: 2.323e+00 | optim/update_norm: 6.479e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-05 | train/loss: 6.430e+00 | train/loss_avg: 6.606e+00 | train/ppl: 6.202e+02 | train/ppl_avg: 7.398e+02 | optim/grad_norm: 1.859e+00 | optim/update_norm: 6.200e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-05 | train/loss: 6.304e+00 | train/loss_avg: 6.454e+00 | train/ppl: 5.469e+02 | train/ppl_avg: 6.353e+02 | optim/grad_norm: 2.412e+00 | optim/update_norm: 5.832e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-05 | train/loss: 6.344e+00 | train/loss_avg: 6.312e+00 | train/ppl: 5.689e+02 | train/ppl_avg: 5.513e+02 | optim/grad_norm: 2.709e+00 | optim/update_norm: 5.656e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-05 | train/loss: 6.043e+00 | train/loss_avg: 6.194e+00 | train/ppl: 4.210e+02 | train/ppl_avg: 4.898e+02 | optim/grad_norm: 2.731e+00 | optim/update_norm: 5.417e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-05 | train/loss: 6.015e+00 | train/loss_avg: 6.090e+00 | train/ppl: 4.097e+02 | train/ppl_avg: 4.416e+02 | optim/grad_norm: 3.425e+00 | optim/update_norm: 5.243e-02 | optim/lr_eff: 1.000e-05 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
