=== Task 19 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 3e-1
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_3e-1
Creating experiment directory: ./exps_410m/experiments/L1/lr_3e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-01 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.244e+06 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.601e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-01 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.286e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.748e+06 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.335e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-01 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.997e-07 | optim/dual_norm_sq: 6.671e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.001e+06 | optim/dn_layer_std: 7.322e+01 | optim/dn_layer_max: 4.427e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-01 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.002e-07 | optim/dual_norm_sq: 3.769e+07 | optim/grad_norm: 7.772e+00 | optim/dampening: 5.997e+05 | optim/dn_layer_std: 5.345e+01 | optim/dn_layer_max: 3.353e+02 | optim/update_norm: 2.268e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-01 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.400e+03 | train/ppl_avg: 9.078e+03 | optim/lr_eff: 8.726e-07 | optim/dual_norm_sq: 2.013e+07 | optim/grad_norm: 3.436e+00 | optim/dampening: 3.438e+05 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.964e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-01 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.081e+03 | train/ppl_avg: 4.416e+03 | optim/lr_eff: 1.662e-06 | optim/dual_norm_sq: 9.653e+06 | optim/grad_norm: 2.191e+00 | optim/dampening: 1.806e+05 | optim/dn_layer_std: 3.144e+01 | optim/dn_layer_max: 2.123e+02 | optim/update_norm: 7.570e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-01 | train/loss: 7.509e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.824e+03 | train/ppl_avg: 2.349e+03 | optim/lr_eff: 1.524e-06 | optim/dual_norm_sq: 9.884e+06 | optim/grad_norm: 3.111e+00 | optim/dampening: 1.969e+05 | optim/dn_layer_std: 3.300e+01 | optim/dn_layer_max: 2.330e+02 | optim/update_norm: 6.952e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-01 | train/loss: 7.190e+00 | train/loss_avg: 7.387e+00 | train/ppl: 1.326e+03 | train/ppl_avg: 1.615e+03 | optim/lr_eff: 1.595e-06 | optim/dual_norm_sq: 9.085e+06 | optim/grad_norm: 2.564e+00 | optim/dampening: 1.881e+05 | optim/dn_layer_std: 3.296e+01 | optim/dn_layer_max: 2.374e+02 | optim/update_norm: 7.280e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-01 | train/loss: 7.091e+00 | train/loss_avg: 7.121e+00 | train/ppl: 1.201e+03 | train/ppl_avg: 1.238e+03 | optim/lr_eff: 1.621e-06 | optim/dual_norm_sq: 8.656e+06 | optim/grad_norm: 2.182e+00 | optim/dampening: 1.851e+05 | optim/dn_layer_std: 3.253e+01 | optim/dn_layer_max: 2.347e+02 | optim/update_norm: 7.401e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-01 | train/loss: 6.696e+00 | train/loss_avg: 6.909e+00 | train/ppl: 8.089e+02 | train/ppl_avg: 1.002e+03 | optim/lr_eff: 1.497e-06 | optim/dual_norm_sq: 9.087e+06 | optim/grad_norm: 2.102e+00 | optim/dampening: 2.004e+05 | optim/dn_layer_std: 3.259e+01 | optim/dn_layer_max: 2.325e+02 | optim/update_norm: 6.836e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-01 | train/loss: 6.643e+00 | train/loss_avg: 6.734e+00 | train/ppl: 7.670e+02 | train/ppl_avg: 8.406e+02 | optim/lr_eff: 1.388e-06 | optim/dual_norm_sq: 9.581e+06 | optim/grad_norm: 2.001e+00 | optim/dampening: 2.161e+05 | optim/dn_layer_std: 3.363e+01 | optim/dn_layer_max: 2.431e+02 | optim/update_norm: 6.344e-01
