=== Task 7 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-2
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-2
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-02 | train/loss: 9.235e+00 | train/loss_avg: 2.347e+01 | train/ppl: 1.024e+04 | train/ppl_avg: 1.560e+10 | optim/grad_norm: 5.234e-01 | optim/update_norm: 3.382e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-02 | train/loss: 7.809e+00 | train/loss_avg: 7.854e+00 | train/ppl: 2.463e+03 | train/ppl_avg: 2.576e+03 | optim/grad_norm: 1.636e-01 | optim/update_norm: 2.116e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-02 | train/loss: 7.677e+00 | train/loss_avg: 7.682e+00 | train/ppl: 2.159e+03 | train/ppl_avg: 2.168e+03 | optim/grad_norm: 5.940e-01 | optim/update_norm: 3.935e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-02 | train/loss: 7.257e+00 | train/loss_avg: 7.495e+00 | train/ppl: 1.419e+03 | train/ppl_avg: 1.799e+03 | optim/grad_norm: 2.562e-01 | optim/update_norm: 4.243e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-02 | train/loss: 6.988e+00 | train/loss_avg: 7.169e+00 | train/ppl: 1.084e+03 | train/ppl_avg: 1.299e+03 | optim/grad_norm: 9.442e-01 | optim/update_norm: 4.403e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-02 | train/loss: 6.835e+00 | train/loss_avg: 6.923e+00 | train/ppl: 9.294e+02 | train/ppl_avg: 1.016e+03 | optim/grad_norm: 2.424e-01 | optim/update_norm: 4.344e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-02 | train/loss: 6.661e+00 | train/loss_avg: 6.789e+00 | train/ppl: 7.814e+02 | train/ppl_avg: 8.882e+02 | optim/grad_norm: 1.768e-01 | optim/update_norm: 4.509e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-02 | train/loss: 6.577e+00 | train/loss_avg: 6.701e+00 | train/ppl: 7.182e+02 | train/ppl_avg: 8.135e+02 | optim/grad_norm: 1.951e-01 | optim/update_norm: 6.401e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-02 | train/loss: 6.714e+00 | train/loss_avg: 6.624e+00 | train/ppl: 8.237e+02 | train/ppl_avg: 7.530e+02 | optim/grad_norm: 2.740e-01 | optim/update_norm: 6.932e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-02 | train/loss: 6.552e+00 | train/loss_avg: 6.623e+00 | train/ppl: 7.004e+02 | train/ppl_avg: 7.519e+02 | optim/grad_norm: 6.548e-01 | optim/update_norm: 7.229e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-02 | train/loss: 6.668e+00 | train/loss_avg: 6.655e+00 | train/ppl: 7.866e+02 | train/ppl_avg: 7.767e+02 | optim/grad_norm: 1.128e+00 | optim/update_norm: 7.356e+01 | optim/lr_eff: 3.000e-02 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
