=== Task 4 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-3
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-3
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-3
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-03 | train/loss: 7.690e+00 | train/loss_avg: 7.951e+00 | train/ppl: 2.187e+03 | train/ppl_avg: 2.837e+03 | optim/grad_norm: 1.661e-01 | optim/update_norm: 1.094e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-03 | train/loss: 7.639e+00 | train/loss_avg: 7.629e+00 | train/ppl: 2.077e+03 | train/ppl_avg: 2.056e+03 | optim/grad_norm: 2.232e-01 | optim/update_norm: 1.991e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-03 | train/loss: 7.125e+00 | train/loss_avg: 7.271e+00 | train/ppl: 1.243e+03 | train/ppl_avg: 1.438e+03 | optim/grad_norm: 5.682e-01 | optim/update_norm: 2.653e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-03 | train/loss: 6.712e+00 | train/loss_avg: 6.910e+00 | train/ppl: 8.225e+02 | train/ppl_avg: 1.003e+03 | optim/grad_norm: 5.047e-01 | optim/update_norm: 2.888e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-03 | train/loss: 6.558e+00 | train/loss_avg: 6.684e+00 | train/ppl: 7.046e+02 | train/ppl_avg: 7.993e+02 | optim/grad_norm: 4.458e-01 | optim/update_norm: 2.790e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-03 | train/loss: 6.391e+00 | train/loss_avg: 6.501e+00 | train/ppl: 5.964e+02 | train/ppl_avg: 6.655e+02 | optim/grad_norm: 5.290e-01 | optim/update_norm: 3.312e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-03 | train/loss: 6.099e+00 | train/loss_avg: 6.300e+00 | train/ppl: 4.452e+02 | train/ppl_avg: 5.448e+02 | optim/grad_norm: 5.985e-01 | optim/update_norm: 2.880e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-03 | train/loss: 5.939e+00 | train/loss_avg: 6.097e+00 | train/ppl: 3.797e+02 | train/ppl_avg: 4.446e+02 | optim/grad_norm: 2.876e-01 | optim/update_norm: 2.874e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-03 | train/loss: 5.917e+00 | train/loss_avg: 5.904e+00 | train/ppl: 3.712e+02 | train/ppl_avg: 3.664e+02 | optim/grad_norm: 4.655e-01 | optim/update_norm: 3.005e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-03 | train/loss: 5.524e+00 | train/loss_avg: 5.734e+00 | train/ppl: 2.507e+02 | train/ppl_avg: 3.091e+02 | optim/grad_norm: 2.654e-01 | optim/update_norm: 2.904e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-03 | train/loss: 5.419e+00 | train/loss_avg: 5.542e+00 | train/ppl: 2.256e+02 | train/ppl_avg: 2.552e+02 | optim/grad_norm: 7.578e-01 | optim/update_norm: 3.218e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-03 | train/loss: 5.484e+00 | train/loss_avg: 5.397e+00 | train/ppl: 2.408e+02 | train/ppl_avg: 2.208e+02 | optim/grad_norm: 1.416e+00 | optim/update_norm: 3.351e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-03 | train/loss: 5.102e+00 | train/loss_avg: 5.241e+00 | train/ppl: 1.643e+02 | train/ppl_avg: 1.889e+02 | optim/grad_norm: 2.790e-01 | optim/update_norm: 2.986e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-03 | train/loss: 5.058e+00 | train/loss_avg: 5.082e+00 | train/ppl: 1.572e+02 | train/ppl_avg: 1.611e+02 | optim/grad_norm: 3.941e-01 | optim/update_norm: 3.135e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 1.000e-03 | train/loss: 4.811e+00 | train/loss_avg: 4.944e+00 | train/ppl: 1.228e+02 | train/ppl_avg: 1.403e+02 | optim/grad_norm: 5.576e-01 | optim/update_norm: 3.149e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 1.000e-03 | train/loss: 4.774e+00 | train/loss_avg: 4.798e+00 | train/ppl: 1.184e+02 | train/ppl_avg: 1.213e+02 | optim/grad_norm: 6.212e-01 | optim/update_norm: 3.225e+00 | optim/lr_eff: 1.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
