=== Task 2 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-4
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-04 | train/loss: 4.455e+00 | train/loss_avg: 4.585e+00 | train/ppl: 8.605e+01 | train/ppl_avg: 9.797e+01 | optim/grad_norm: 7.737e-01 | optim/update_norm: 3.518e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-04 | train/loss: 4.506e+00 | train/loss_avg: 4.496e+00 | train/ppl: 9.059e+01 | train/ppl_avg: 8.969e+01 | optim/grad_norm: 6.551e-01 | optim/update_norm: 3.558e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 1.000e-04 | train/loss: 4.318e+00 | train/loss_avg: 4.426e+00 | train/ppl: 7.502e+01 | train/ppl_avg: 8.357e+01 | optim/grad_norm: 7.035e-01 | optim/update_norm: 3.572e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 1.000e-04 | train/loss: 4.336e+00 | train/loss_avg: 4.350e+00 | train/ppl: 7.637e+01 | train/ppl_avg: 7.750e+01 | optim/grad_norm: 7.135e-01 | optim/update_norm: 3.605e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 1.000e-04 | train/loss: 4.427e+00 | train/loss_avg: 4.284e+00 | train/ppl: 8.371e+01 | train/ppl_avg: 7.256e+01 | optim/grad_norm: 6.893e-01 | optim/update_norm: 3.616e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 28800 | step: 900 | tokens: 471859200 | lr: 1.000e-04 | train/loss: 4.363e+00 | train/loss_avg: 4.223e+00 | train/ppl: 7.850e+01 | train/ppl_avg: 6.823e+01 | optim/grad_norm: 6.158e-01 | optim/update_norm: 3.613e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 30400 | step: 950 | tokens: 498073600 | lr: 1.000e-04 | train/loss: 4.183e+00 | train/loss_avg: 4.169e+00 | train/ppl: 6.555e+01 | train/ppl_avg: 6.466e+01 | optim/grad_norm: 6.642e-01 | optim/update_norm: 3.634e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 32000 | step: 1000 | tokens: 524288000 | lr: 1.000e-04 | train/loss: 4.250e+00 | train/loss_avg: 4.119e+00 | train/ppl: 7.008e+01 | train/ppl_avg: 6.149e+01 | valid/loss: 4.089e+00 | valid/ppl: 5.966e+01 | optim/grad_norm: 6.055e-01 | optim/update_norm: 3.634e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 33600 | step: 1050 | tokens: 550502400 | lr: 1.000e-04 | train/loss: 4.043e+00 | train/loss_avg: 4.075e+00 | train/ppl: 5.700e+01 | train/ppl_avg: 5.883e+01 | optim/grad_norm: 6.696e-01 | optim/update_norm: 3.673e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 1.000e-04 | train/loss: 3.819e+00 | train/loss_avg: 4.035e+00 | train/ppl: 4.558e+01 | train/ppl_avg: 5.656e+01 | optim/grad_norm: 6.104e-01 | optim/update_norm: 3.638e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 36800 | step: 1150 | tokens: 602931200 | lr: 1.000e-04 | train/loss: 3.874e+00 | train/loss_avg: 3.996e+00 | train/ppl: 4.813e+01 | train/ppl_avg: 5.437e+01 | optim/grad_norm: 6.779e-01 | optim/update_norm: 3.669e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 38400 | step: 1200 | tokens: 629145600 | lr: 1.000e-04 | train/loss: 3.759e+00 | train/loss_avg: 3.966e+00 | train/ppl: 4.291e+01 | train/ppl_avg: 5.275e+01 | optim/grad_norm: 6.401e-01 | optim/update_norm: 3.682e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 40000 | step: 1250 | tokens: 655360000 | lr: 1.000e-04 | train/loss: 3.766e+00 | train/loss_avg: 3.939e+00 | train/ppl: 4.321e+01 | train/ppl_avg: 5.138e+01 | optim/grad_norm: 6.393e-01 | optim/update_norm: 3.693e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 41600 | step: 1300 | tokens: 681574400 | lr: 1.000e-04 | train/loss: 3.778e+00 | train/loss_avg: 3.901e+00 | train/ppl: 4.371e+01 | train/ppl_avg: 4.945e+01 | optim/grad_norm: 5.969e-01 | optim/update_norm: 3.699e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 43200 | step: 1350 | tokens: 707788800 | lr: 1.000e-04 | train/loss: 3.916e+00 | train/loss_avg: 3.879e+00 | train/ppl: 5.021e+01 | train/ppl_avg: 4.836e+01 | optim/grad_norm: 5.664e-01 | optim/update_norm: 3.706e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 44800 | step: 1400 | tokens: 734003200 | lr: 1.000e-04 | train/loss: 3.877e+00 | train/loss_avg: 3.850e+00 | train/ppl: 4.827e+01 | train/ppl_avg: 4.700e+01 | optim/grad_norm: 6.263e-01 | optim/update_norm: 3.726e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 46400 | step: 1450 | tokens: 760217600 | lr: 1.000e-04 | train/loss: 3.947e+00 | train/loss_avg: 3.827e+00 | train/ppl: 5.179e+01 | train/ppl_avg: 4.591e+01 | optim/grad_norm: 5.872e-01 | optim/update_norm: 3.728e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 48000 | step: 1500 | tokens: 786432000 | lr: 1.000e-04 | train/loss: 3.875e+00 | train/loss_avg: 3.807e+00 | train/ppl: 4.819e+01 | train/ppl_avg: 4.503e+01 | optim/grad_norm: 5.994e-01 | optim/update_norm: 3.771e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 49600 | step: 1550 | tokens: 812646400 | lr: 1.000e-04 | train/loss: 3.731e+00 | train/loss_avg: 3.789e+00 | train/ppl: 4.174e+01 | train/ppl_avg: 4.420e+01 | optim/grad_norm: 5.843e-01 | optim/update_norm: 3.738e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 51200 | step: 1600 | tokens: 838860800 | lr: 1.000e-04 | train/loss: 3.793e+00 | train/loss_avg: 3.767e+00 | train/ppl: 4.439e+01 | train/ppl_avg: 4.326e+01 | optim/grad_norm: 5.464e-01 | optim/update_norm: 3.782e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 52800 | step: 1650 | tokens: 865075200 | lr: 1.000e-04 | train/loss: 3.678e+00 | train/loss_avg: 3.750e+00 | train/ppl: 3.956e+01 | train/ppl_avg: 4.251e+01 | optim/grad_norm: 6.037e-01 | optim/update_norm: 3.796e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 54400 | step: 1700 | tokens: 891289600 | lr: 1.000e-04 | train/loss: 3.815e+00 | train/loss_avg: 3.728e+00 | train/ppl: 4.538e+01 | train/ppl_avg: 4.162e+01 | optim/grad_norm: 5.730e-01 | optim/update_norm: 3.786e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 56000 | step: 1750 | tokens: 917504000 | lr: 1.000e-04 | train/loss: 3.686e+00 | train/loss_avg: 3.714e+00 | train/ppl: 3.990e+01 | train/ppl_avg: 4.102e+01 | optim/grad_norm: 5.583e-01 | optim/update_norm: 3.803e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 57600 | step: 1800 | tokens: 943718400 | lr: 1.000e-04 | train/loss: 3.655e+00 | train/loss_avg: 3.699e+00 | train/ppl: 3.867e+01 | train/ppl_avg: 4.042e+01 | optim/grad_norm: 5.231e-01 | optim/update_norm: 3.828e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 59200 | step: 1850 | tokens: 969932800 | lr: 1.000e-04 | train/loss: 3.602e+00 | train/loss_avg: 3.686e+00 | train/ppl: 3.666e+01 | train/ppl_avg: 3.990e+01 | optim/grad_norm: 5.350e-01 | optim/update_norm: 3.815e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 60800 | step: 1900 | tokens: 996147200 | lr: 1.000e-04 | train/loss: 3.740e+00 | train/loss_avg: 3.671e+00 | train/ppl: 4.211e+01 | train/ppl_avg: 3.930e+01 | optim/grad_norm: 5.384e-01 | optim/update_norm: 3.853e-01 | optim/lr_eff: 1.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
