=== Task 20 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 1e-5
host   = mbz-titan-2
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_1e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-05 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.633e+04 | train/ppl_avg: 5.380e+04 | optim/lr_eff: 1.317e-07 | optim/dual_norm_sq: 1.610e+08 | optim/grad_norm: 1.240e+01 | optim/dampening: 7.593e+01 | optim/dn_layer_std: 1.294e+02 | optim/dn_layer_max: 7.614e+02 | optim/update_norm: 5.933e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-05 | train/loss: 1.041e+01 | train/loss_avg: 1.058e+01 | train/ppl: 3.318e+04 | train/ppl_avg: 3.920e+04 | optim/lr_eff: 1.669e-07 | optim/dual_norm_sq: 1.227e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.992e+01 | optim/dn_layer_std: 1.077e+02 | optim/dn_layer_max: 6.379e+02 | optim/update_norm: 7.548e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-05 | train/loss: 9.994e+00 | train/loss_avg: 1.022e+01 | train/ppl: 2.189e+04 | train/ppl_avg: 2.740e+04 | optim/lr_eff: 2.823e-07 | optim/dual_norm_sq: 6.897e+07 | optim/grad_norm: 1.168e+01 | optim/dampening: 3.542e+01 | optim/dn_layer_std: 7.467e+01 | optim/dn_layer_max: 4.496e+02 | optim/update_norm: 1.278e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-05 | train/loss: 9.446e+00 | train/loss_avg: 9.760e+00 | train/ppl: 1.265e+04 | train/ppl_avg: 1.732e+04 | optim/lr_eff: 4.580e-07 | optim/dual_norm_sq: 3.949e+07 | optim/grad_norm: 8.181e+00 | optim/dampening: 2.183e+01 | optim/dn_layer_std: 5.472e+01 | optim/dn_layer_max: 3.412e+02 | optim/update_norm: 2.077e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-05 | train/loss: 8.865e+00 | train/loss_avg: 9.189e+00 | train/ppl: 7.081e+03 | train/ppl_avg: 9.789e+03 | optim/lr_eff: 7.280e-07 | optim/dual_norm_sq: 2.264e+07 | optim/grad_norm: 3.945e+00 | optim/dampening: 1.374e+01 | optim/dn_layer_std: 4.218e+01 | optim/dn_layer_max: 2.684e+02 | optim/update_norm: 3.307e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-05 | train/loss: 8.201e+00 | train/loss_avg: 8.534e+00 | train/ppl: 3.646e+03 | train/ppl_avg: 5.084e+03 | optim/lr_eff: 1.360e-06 | optim/dual_norm_sq: 1.041e+07 | optim/grad_norm: 1.827e+00 | optim/dampening: 7.354e+00 | optim/dn_layer_std: 3.200e+01 | optim/dn_layer_max: 2.146e+02 | optim/update_norm: 6.192e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-05 | train/loss: 7.674e+00 | train/loss_avg: 7.930e+00 | train/ppl: 2.152e+03 | train/ppl_avg: 2.781e+03 | optim/lr_eff: 1.502e-06 | optim/dual_norm_sq: 8.699e+06 | optim/grad_norm: 1.920e+00 | optim/dampening: 6.658e+00 | optim/dn_layer_std: 3.164e+01 | optim/dn_layer_max: 2.230e+02 | optim/update_norm: 6.853e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-05 | train/loss: 7.333e+00 | train/loss_avg: 7.535e+00 | train/ppl: 1.530e+03 | train/ppl_avg: 1.873e+03 | optim/lr_eff: 1.275e-06 | optim/dual_norm_sq: 1.011e+07 | optim/grad_norm: 2.681e+00 | optim/dampening: 7.843e+00 | optim/dn_layer_std: 3.453e+01 | optim/dn_layer_max: 2.510e+02 | optim/update_norm: 5.821e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-05 | train/loss: 7.230e+00 | train/loss_avg: 7.261e+00 | train/ppl: 1.380e+03 | train/ppl_avg: 1.424e+03 | optim/lr_eff: 1.322e-06 | optim/dual_norm_sq: 9.389e+06 | optim/grad_norm: 2.511e+00 | optim/dampening: 7.565e+00 | optim/dn_layer_std: 3.324e+01 | optim/dn_layer_max: 2.364e+02 | optim/update_norm: 6.037e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-05 | train/loss: 6.838e+00 | train/loss_avg: 7.050e+00 | train/ppl: 9.330e+02 | train/ppl_avg: 1.153e+03 | optim/lr_eff: 1.231e-06 | optim/dual_norm_sq: 9.894e+06 | optim/grad_norm: 2.330e+00 | optim/dampening: 8.126e+00 | optim/dn_layer_std: 3.445e+01 | optim/dn_layer_max: 2.481e+02 | optim/update_norm: 5.621e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-05 | train/loss: 6.787e+00 | train/loss_avg: 6.876e+00 | train/ppl: 8.860e+02 | train/ppl_avg: 9.688e+02 | optim/lr_eff: 1.114e-06 | optim/dual_norm_sq: 1.085e+07 | optim/grad_norm: 2.487e+00 | optim/dampening: 8.980e+00 | optim/dn_layer_std: 3.595e+01 | optim/dn_layer_max: 2.593e+02 | optim/update_norm: 5.088e-01
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-05 | train/loss: 6.820e+00 | train/loss_avg: 6.730e+00 | train/ppl: 9.164e+02 | train/ppl_avg: 8.370e+02 | optim/lr_eff: 8.851e-07 | optim/dual_norm_sq: 1.375e+07 | optim/grad_norm: 2.823e+00 | optim/dampening: 1.130e+01 | optim/dn_layer_std: 4.017e+01 | optim/dn_layer_max: 2.912e+02 | optim/update_norm: 4.045e-01
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-05 | train/loss: 6.533e+00 | train/loss_avg: 6.605e+00 | train/ppl: 6.878e+02 | train/ppl_avg: 7.389e+02 | optim/lr_eff: 1.018e-06 | optim/dual_norm_sq: 1.155e+07 | optim/grad_norm: 2.292e+00 | optim/dampening: 9.822e+00 | optim/dn_layer_std: 3.651e+01 | optim/dn_layer_max: 2.605e+02 | optim/update_norm: 4.654e-01
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-05 | train/loss: 6.477e+00 | train/loss_avg: 6.496e+00 | train/ppl: 6.499e+02 | train/ppl_avg: 6.625e+02 | optim/lr_eff: 8.331e-07 | optim/dual_norm_sq: 1.419e+07 | optim/grad_norm: 2.833e+00 | optim/dampening: 1.200e+01 | optim/dn_layer_std: 3.976e+01 | optim/dn_layer_max: 2.798e+02 | optim/update_norm: 3.809e-01
