=== Task 25 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 3e-3
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_3e-3
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-03 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.244e+04 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-03 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.749e+04 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.335e+02 | optim/update_norm: 7.760e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-03 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.996e-07 | optim/dual_norm_sq: 6.673e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.001e+04 | optim/dn_layer_std: 7.324e+01 | optim/dn_layer_max: 4.429e+02 | optim/update_norm: 1.356e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-03 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.672e+04 | optim/lr_eff: 4.999e-07 | optim/dual_norm_sq: 3.771e+07 | optim/grad_norm: 7.773e+00 | optim/dampening: 6.001e+03 | optim/dn_layer_std: 5.347e+01 | optim/dn_layer_max: 3.354e+02 | optim/update_norm: 2.266e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-03 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.402e+03 | train/ppl_avg: 9.081e+03 | optim/lr_eff: 8.717e-07 | optim/dual_norm_sq: 2.015e+07 | optim/grad_norm: 3.440e+00 | optim/dampening: 3.441e+03 | optim/dn_layer_std: 4.004e+01 | optim/dn_layer_max: 2.555e+02 | optim/update_norm: 3.960e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-03 | train/loss: 8.034e+00 | train/loss_avg: 8.394e+00 | train/ppl: 3.083e+03 | train/ppl_avg: 4.420e+03 | optim/lr_eff: 1.663e-06 | optim/dual_norm_sq: 9.639e+06 | optim/grad_norm: 2.167e+00 | optim/dampening: 1.804e+03 | optim/dn_layer_std: 3.145e+01 | optim/dn_layer_max: 2.126e+02 | optim/update_norm: 7.577e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-03 | train/loss: 7.506e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.819e+03 | train/ppl_avg: 2.350e+03 | optim/lr_eff: 1.741e-06 | optim/dual_norm_sq: 8.638e+06 | optim/grad_norm: 2.560e+00 | optim/dampening: 1.723e+03 | optim/dn_layer_std: 3.108e+01 | optim/dn_layer_max: 2.186e+02 | optim/update_norm: 7.947e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-03 | train/loss: 7.188e+00 | train/loss_avg: 7.382e+00 | train/ppl: 1.323e+03 | train/ppl_avg: 1.607e+03 | optim/lr_eff: 1.647e-06 | optim/dual_norm_sq: 8.787e+06 | optim/grad_norm: 2.449e+00 | optim/dampening: 1.821e+03 | optim/dn_layer_std: 3.234e+01 | optim/dn_layer_max: 2.335e+02 | optim/update_norm: 7.520e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-03 | train/loss: 7.080e+00 | train/loss_avg: 7.113e+00 | train/ppl: 1.188e+03 | train/ppl_avg: 1.228e+03 | optim/lr_eff: 1.520e-06 | optim/dual_norm_sq: 9.207e+06 | optim/grad_norm: 2.502e+00 | optim/dampening: 1.973e+03 | optim/dn_layer_std: 3.342e+01 | optim/dn_layer_max: 2.389e+02 | optim/update_norm: 6.943e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-03 | train/loss: 6.688e+00 | train/loss_avg: 6.901e+00 | train/ppl: 8.026e+02 | train/ppl_avg: 9.929e+02 | optim/lr_eff: 1.431e-06 | optim/dual_norm_sq: 9.490e+06 | optim/grad_norm: 2.230e+00 | optim/dampening: 2.097e+03 | optim/dn_layer_std: 3.324e+01 | optim/dn_layer_max: 2.377e+02 | optim/update_norm: 6.535e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-03 | train/loss: 6.640e+00 | train/loss_avg: 6.728e+00 | train/ppl: 7.651e+02 | train/ppl_avg: 8.355e+02 | optim/lr_eff: 1.345e-06 | optim/dual_norm_sq: 9.879e+06 | optim/grad_norm: 2.112e+00 | optim/dampening: 2.230e+03 | optim/dn_layer_std: 3.404e+01 | optim/dn_layer_max: 2.444e+02 | optim/update_norm: 6.146e-01
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 3.000e-03 | train/loss: 6.671e+00 | train/loss_avg: 6.580e+00 | train/ppl: 7.894e+02 | train/ppl_avg: 7.207e+02 | optim/lr_eff: 1.101e-06 | optim/dual_norm_sq: 1.186e+07 | optim/grad_norm: 2.173e+00 | optim/dampening: 2.726e+03 | optim/dn_layer_std: 3.665e+01 | optim/dn_layer_max: 2.618e+02 | optim/update_norm: 5.030e-01
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-03 | train/loss: 6.392e+00 | train/loss_avg: 6.461e+00 | train/ppl: 5.968e+02 | train/ppl_avg: 6.395e+02 | optim/lr_eff: 1.066e-06 | optim/dual_norm_sq: 1.201e+07 | optim/grad_norm: 2.227e+00 | optim/dampening: 2.815e+03 | optim/dn_layer_std: 3.695e+01 | optim/dn_layer_max: 2.648e+02 | optim/update_norm: 4.872e-01
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 3.000e-03 | train/loss: 6.338e+00 | train/loss_avg: 6.356e+00 | train/ppl: 5.655e+02 | train/ppl_avg: 5.761e+02 | optim/lr_eff: 9.043e-07 | optim/dual_norm_sq: 1.395e+07 | optim/grad_norm: 2.404e+00 | optim/dampening: 3.318e+03 | optim/dn_layer_std: 3.935e+01 | optim/dn_layer_max: 2.762e+02 | optim/update_norm: 4.135e-01
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 3.000e-03 | train/loss: 6.171e+00 | train/loss_avg: 6.274e+00 | train/ppl: 4.788e+02 | train/ppl_avg: 5.305e+02 | optim/lr_eff: 8.541e-07 | optim/dual_norm_sq: 1.455e+07 | optim/grad_norm: 2.477e+00 | optim/dampening: 3.513e+03 | optim/dn_layer_std: 4.035e+01 | optim/dn_layer_max: 2.863e+02 | optim/update_norm: 3.906e-01
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 3.000e-03 | train/loss: 6.136e+00 | train/loss_avg: 6.193e+00 | train/ppl: 4.621e+02 | train/ppl_avg: 4.894e+02 | optim/lr_eff: 6.417e-07 | optim/dual_norm_sq: 1.919e+07 | optim/grad_norm: 3.493e+00 | optim/dampening: 4.675e+03 | optim/dn_layer_std: 4.598e+01 | optim/dn_layer_max: 3.230e+02 | optim/update_norm: 2.935e-01
