=== Task 8 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 1e-1
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_1e-1
Creating experiment directory: ./exps_410m/experiments/adamw/lr_1e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-01 | train/loss: 8.734e+00 | train/loss_avg: 2.934e+01 | train/ppl: 6.210e+03 | train/ppl_avg: 5.533e+12 | optim/grad_norm: 3.468e+00 | optim/update_norm: 8.266e+01 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-01 | train/loss: 8.921e+00 | train/loss_avg: 9.004e+00 | train/ppl: 7.491e+03 | train/ppl_avg: 8.132e+03 | optim/grad_norm: 6.999e+00 | optim/update_norm: 5.072e+01 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-01 | train/loss: 7.720e+00 | train/loss_avg: 8.229e+00 | train/ppl: 2.252e+03 | train/ppl_avg: 3.747e+03 | optim/grad_norm: 1.223e+00 | optim/update_norm: 5.235e+01 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-01 | train/loss: 7.633e+00 | train/loss_avg: 7.828e+00 | train/ppl: 2.065e+03 | train/ppl_avg: 2.509e+03 | optim/grad_norm: 4.630e-01 | optim/update_norm: 8.828e+01 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-01 | train/loss: 7.466e+00 | train/loss_avg: 7.597e+00 | train/ppl: 1.747e+03 | train/ppl_avg: 1.992e+03 | optim/grad_norm: 4.055e-01 | optim/update_norm: 9.800e+01 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-01 | train/loss: 7.402e+00 | train/loss_avg: 7.514e+00 | train/ppl: 1.639e+03 | train/ppl_avg: 1.834e+03 | optim/grad_norm: 5.796e-01 | optim/update_norm: 1.141e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-01 | train/loss: 7.220e+00 | train/loss_avg: 7.359e+00 | train/ppl: 1.366e+03 | train/ppl_avg: 1.570e+03 | optim/grad_norm: 5.518e-01 | optim/update_norm: 1.233e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-01 | train/loss: 7.069e+00 | train/loss_avg: 7.216e+00 | train/ppl: 1.175e+03 | train/ppl_avg: 1.361e+03 | optim/grad_norm: 6.583e-01 | optim/update_norm: 1.407e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-01 | train/loss: 7.133e+00 | train/loss_avg: 7.105e+00 | train/ppl: 1.252e+03 | train/ppl_avg: 1.219e+03 | optim/grad_norm: 5.515e-01 | optim/update_norm: 1.448e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-01 | train/loss: 6.918e+00 | train/loss_avg: 7.019e+00 | train/ppl: 1.010e+03 | train/ppl_avg: 1.118e+03 | optim/grad_norm: 4.572e-01 | optim/update_norm: 1.556e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-01 | train/loss: 6.918e+00 | train/loss_avg: 6.945e+00 | train/ppl: 1.010e+03 | train/ppl_avg: 1.038e+03 | optim/grad_norm: 4.948e-01 | optim/update_norm: 1.557e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-01 | train/loss: 7.116e+00 | train/loss_avg: 6.921e+00 | train/ppl: 1.232e+03 | train/ppl_avg: 1.013e+03 | optim/grad_norm: 2.295e+00 | optim/update_norm: 1.612e+02 | optim/lr_eff: 1.000e-01 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
