=== Task 3 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-04 | train/loss: 7.618e+00 | train/loss_avg: 7.997e+00 | train/ppl: 2.034e+03 | train/ppl_avg: 2.972e+03 | optim/grad_norm: 3.473e-01 | optim/update_norm: 1.043e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-04 | train/loss: 7.190e+00 | train/loss_avg: 7.375e+00 | train/ppl: 1.326e+03 | train/ppl_avg: 1.595e+03 | optim/grad_norm: 7.371e-01 | optim/update_norm: 9.445e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-04 | train/loss: 6.911e+00 | train/loss_avg: 6.964e+00 | train/ppl: 1.003e+03 | train/ppl_avg: 1.058e+03 | optim/grad_norm: 6.026e-01 | optim/update_norm: 9.512e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-04 | train/loss: 6.594e+00 | train/loss_avg: 6.716e+00 | train/ppl: 7.310e+02 | train/ppl_avg: 8.255e+02 | optim/grad_norm: 3.569e+00 | optim/update_norm: 1.211e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-04 | train/loss: 6.373e+00 | train/loss_avg: 6.483e+00 | train/ppl: 5.856e+02 | train/ppl_avg: 6.536e+02 | optim/grad_norm: 7.489e-01 | optim/update_norm: 9.027e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-04 | train/loss: 6.142e+00 | train/loss_avg: 6.276e+00 | train/ppl: 4.649e+02 | train/ppl_avg: 5.318e+02 | optim/grad_norm: 5.683e-01 | optim/update_norm: 8.336e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-04 | train/loss: 5.902e+00 | train/loss_avg: 6.087e+00 | train/ppl: 3.657e+02 | train/ppl_avg: 4.401e+02 | optim/grad_norm: 5.313e-01 | optim/update_norm: 8.436e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-04 | train/loss: 5.740e+00 | train/loss_avg: 5.902e+00 | train/ppl: 3.112e+02 | train/ppl_avg: 3.658e+02 | optim/grad_norm: 5.454e-01 | optim/update_norm: 8.455e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-04 | train/loss: 5.752e+00 | train/loss_avg: 5.713e+00 | train/ppl: 3.147e+02 | train/ppl_avg: 3.028e+02 | optim/grad_norm: 3.965e-01 | optim/update_norm: 8.331e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-04 | train/loss: 5.391e+00 | train/loss_avg: 5.567e+00 | train/ppl: 2.195e+02 | train/ppl_avg: 2.617e+02 | optim/grad_norm: 7.926e-01 | optim/update_norm: 8.358e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-04 | train/loss: 5.288e+00 | train/loss_avg: 5.406e+00 | train/ppl: 1.979e+02 | train/ppl_avg: 2.226e+02 | optim/grad_norm: 6.601e-01 | optim/update_norm: 8.391e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 3.000e-04 | train/loss: 5.303e+00 | train/loss_avg: 5.268e+00 | train/ppl: 2.010e+02 | train/ppl_avg: 1.941e+02 | optim/grad_norm: 5.562e-01 | optim/update_norm: 8.383e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-04 | train/loss: 5.031e+00 | train/loss_avg: 5.145e+00 | train/ppl: 1.530e+02 | train/ppl_avg: 1.716e+02 | optim/grad_norm: 6.960e-01 | optim/update_norm: 8.794e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 3.000e-04 | train/loss: 4.985e+00 | train/loss_avg: 5.019e+00 | train/ppl: 1.462e+02 | train/ppl_avg: 1.513e+02 | optim/grad_norm: 6.336e-01 | optim/update_norm: 8.863e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 3.000e-04 | train/loss: 4.774e+00 | train/loss_avg: 4.909e+00 | train/ppl: 1.184e+02 | train/ppl_avg: 1.355e+02 | optim/grad_norm: 4.781e-01 | optim/update_norm: 8.986e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 3.000e-04 | train/loss: 4.748e+00 | train/loss_avg: 4.791e+00 | train/ppl: 1.153e+02 | train/ppl_avg: 1.204e+02 | optim/grad_norm: 5.905e-01 | optim/update_norm: 9.209e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 3.000e-04 | train/loss: 4.783e+00 | train/loss_avg: 4.680e+00 | train/ppl: 1.195e+02 | train/ppl_avg: 1.078e+02 | optim/grad_norm: 8.563e-01 | optim/update_norm: 9.463e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 28800 | step: 900 | tokens: 471859200 | lr: 3.000e-04 | train/loss: 4.669e+00 | train/loss_avg: 4.571e+00 | train/ppl: 1.066e+02 | train/ppl_avg: 9.666e+01 | optim/grad_norm: 5.225e-01 | optim/update_norm: 9.380e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 30400 | step: 950 | tokens: 498073600 | lr: 3.000e-04 | train/loss: 4.456e+00 | train/loss_avg: 4.473e+00 | train/ppl: 8.615e+01 | train/ppl_avg: 8.761e+01 | optim/grad_norm: 4.628e-01 | optim/update_norm: 9.663e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 32000 | step: 1000 | tokens: 524288000 | lr: 3.000e-04 | train/loss: 4.456e+00 | train/loss_avg: 4.383e+00 | train/ppl: 8.614e+01 | train/ppl_avg: 8.006e+01 | valid/loss: 4.336e+00 | valid/ppl: 7.638e+01 | optim/grad_norm: 4.391e-01 | optim/update_norm: 9.723e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 33600 | step: 1050 | tokens: 550502400 | lr: 3.000e-04 | train/loss: 4.266e+00 | train/loss_avg: 4.304e+00 | train/ppl: 7.124e+01 | train/ppl_avg: 7.397e+01 | optim/grad_norm: 5.123e-01 | optim/update_norm: 1.010e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 3.000e-04 | train/loss: 4.015e+00 | train/loss_avg: 4.233e+00 | train/ppl: 5.540e+01 | train/ppl_avg: 6.892e+01 | optim/grad_norm: 4.766e-01 | optim/update_norm: 1.019e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 36800 | step: 1150 | tokens: 602931200 | lr: 3.000e-04 | train/loss: 4.027e+00 | train/loss_avg: 4.166e+00 | train/ppl: 5.610e+01 | train/ppl_avg: 6.446e+01 | optim/grad_norm: 4.177e-01 | optim/update_norm: 1.021e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 38400 | step: 1200 | tokens: 629145600 | lr: 3.000e-04 | train/loss: 3.906e+00 | train/loss_avg: 4.110e+00 | train/ppl: 4.968e+01 | train/ppl_avg: 6.094e+01 | optim/grad_norm: 4.694e-01 | optim/update_norm: 1.045e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 40000 | step: 1250 | tokens: 655360000 | lr: 3.000e-04 | train/loss: 3.882e+00 | train/loss_avg: 4.061e+00 | train/ppl: 4.854e+01 | train/ppl_avg: 5.804e+01 | optim/grad_norm: 2.918e-01 | optim/update_norm: 1.048e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 41600 | step: 1300 | tokens: 681574400 | lr: 3.000e-04 | train/loss: 3.875e+00 | train/loss_avg: 4.003e+00 | train/ppl: 4.818e+01 | train/ppl_avg: 5.474e+01 | optim/grad_norm: 3.619e-01 | optim/update_norm: 1.077e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 43200 | step: 1350 | tokens: 707788800 | lr: 3.000e-04 | train/loss: 4.014e+00 | train/loss_avg: 3.964e+00 | train/ppl: 5.535e+01 | train/ppl_avg: 5.266e+01 | optim/grad_norm: 3.635e-01 | optim/update_norm: 1.087e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 44800 | step: 1400 | tokens: 734003200 | lr: 3.000e-04 | train/loss: 3.960e+00 | train/loss_avg: 3.920e+00 | train/ppl: 5.243e+01 | train/ppl_avg: 5.039e+01 | optim/grad_norm: 2.733e-01 | optim/update_norm: 1.083e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 46400 | step: 1450 | tokens: 760217600 | lr: 3.000e-04 | train/loss: 4.002e+00 | train/loss_avg: 3.882e+00 | train/ppl: 5.470e+01 | train/ppl_avg: 4.853e+01 | optim/grad_norm: 2.795e-01 | optim/update_norm: 1.111e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 48000 | step: 1500 | tokens: 786432000 | lr: 3.000e-04 | train/loss: 3.912e+00 | train/loss_avg: 3.852e+00 | train/ppl: 5.002e+01 | train/ppl_avg: 4.707e+01 | optim/grad_norm: 3.246e-01 | optim/update_norm: 1.114e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 49600 | step: 1550 | tokens: 812646400 | lr: 3.000e-04 | train/loss: 3.749e+00 | train/loss_avg: 3.821e+00 | train/ppl: 4.248e+01 | train/ppl_avg: 4.564e+01 | optim/grad_norm: 2.807e-01 | optim/update_norm: 1.121e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 51200 | step: 1600 | tokens: 838860800 | lr: 3.000e-04 | train/loss: 3.815e+00 | train/loss_avg: 3.791e+00 | train/ppl: 4.536e+01 | train/ppl_avg: 4.431e+01 | optim/grad_norm: 2.799e-01 | optim/update_norm: 1.126e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 52800 | step: 1650 | tokens: 865075200 | lr: 3.000e-04 | train/loss: 3.699e+00 | train/loss_avg: 3.764e+00 | train/ppl: 4.039e+01 | train/ppl_avg: 4.312e+01 | optim/grad_norm: 3.160e-01 | optim/update_norm: 1.144e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 54400 | step: 1700 | tokens: 891289600 | lr: 3.000e-04 | train/loss: 3.812e+00 | train/loss_avg: 3.735e+00 | train/ppl: 4.525e+01 | train/ppl_avg: 4.187e+01 | optim/grad_norm: 2.620e-01 | optim/update_norm: 1.139e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 56000 | step: 1750 | tokens: 917504000 | lr: 3.000e-04 | train/loss: 3.678e+00 | train/loss_avg: 3.712e+00 | train/ppl: 3.955e+01 | train/ppl_avg: 4.094e+01 | optim/grad_norm: 2.793e-01 | optim/update_norm: 1.160e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 57600 | step: 1800 | tokens: 943718400 | lr: 3.000e-04 | train/loss: 3.637e+00 | train/loss_avg: 3.691e+00 | train/ppl: 3.797e+01 | train/ppl_avg: 4.010e+01 | optim/grad_norm: 2.456e-01 | optim/update_norm: 1.162e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 59200 | step: 1850 | tokens: 969932800 | lr: 3.000e-04 | train/loss: 3.589e+00 | train/loss_avg: 3.673e+00 | train/ppl: 3.622e+01 | train/ppl_avg: 3.935e+01 | optim/grad_norm: 3.107e-01 | optim/update_norm: 1.170e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
