=== Task 11 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 3e-5
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_3e-5
Creating experiment directory: ./exps_410m/experiments/L1/lr_3e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-05 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.622e+04 | train/ppl_avg: 5.373e+04 | optim/lr_eff: 1.330e-07 | optim/dual_norm_sq: 1.608e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.255e+02 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.605e+02 | optim/update_norm: 5.992e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-05 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.297e+04 | train/ppl_avg: 3.904e+04 | optim/lr_eff: 1.700e-07 | optim/dual_norm_sq: 1.218e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.765e+02 | optim/dn_layer_std: 1.072e+02 | optim/dn_layer_max: 6.351e+02 | optim/update_norm: 7.688e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-05 | train/loss: 9.979e+00 | train/loss_avg: 1.021e+01 | train/ppl: 2.157e+04 | train/ppl_avg: 2.713e+04 | optim/lr_eff: 2.937e-07 | optim/dual_norm_sq: 6.745e+07 | optim/grad_norm: 1.160e+01 | optim/dampening: 1.021e+02 | optim/dn_layer_std: 7.370e+01 | optim/dn_layer_max: 4.450e+02 | optim/update_norm: 1.330e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-05 | train/loss: 9.411e+00 | train/loss_avg: 9.736e+00 | train/ppl: 1.222e+04 | train/ppl_avg: 1.692e+04 | optim/lr_eff: 4.853e-07 | optim/dual_norm_sq: 3.830e+07 | optim/grad_norm: 7.912e+00 | optim/dampening: 6.182e+01 | optim/dn_layer_std: 5.388e+01 | optim/dn_layer_max: 3.373e+02 | optim/update_norm: 2.200e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-05 | train/loss: 8.800e+00 | train/loss_avg: 9.140e+00 | train/ppl: 6.633e+03 | train/ppl_avg: 9.320e+03 | optim/lr_eff: 8.165e-07 | optim/dual_norm_sq: 2.102e+07 | optim/grad_norm: 3.611e+00 | optim/dampening: 3.674e+01 | optim/dn_layer_std: 4.076e+01 | optim/dn_layer_max: 2.594e+02 | optim/update_norm: 3.709e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-05 | train/loss: 8.094e+00 | train/loss_avg: 8.444e+00 | train/ppl: 3.275e+03 | train/ppl_avg: 4.646e+03 | optim/lr_eff: 1.563e-06 | optim/dual_norm_sq: 9.800e+06 | optim/grad_norm: 1.964e+00 | optim/dampening: 1.919e+01 | optim/dn_layer_std: 3.161e+01 | optim/dn_layer_max: 2.139e+02 | optim/update_norm: 7.121e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-05 | train/loss: 7.562e+00 | train/loss_avg: 7.820e+00 | train/ppl: 1.924e+03 | train/ppl_avg: 2.489e+03 | optim/lr_eff: 1.619e-06 | optim/dual_norm_sq: 8.857e+06 | optim/grad_norm: 2.420e+00 | optim/dampening: 1.853e+01 | optim/dn_layer_std: 3.161e+01 | optim/dn_layer_max: 2.224e+02 | optim/update_norm: 7.389e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-05 | train/loss: 7.239e+00 | train/loss_avg: 7.433e+00 | train/ppl: 1.393e+03 | train/ppl_avg: 1.691e+03 | optim/lr_eff: 1.480e-06 | optim/dual_norm_sq: 9.369e+06 | optim/grad_norm: 2.791e+00 | optim/dampening: 2.026e+01 | optim/dn_layer_std: 3.280e+01 | optim/dn_layer_max: 2.354e+02 | optim/update_norm: 6.758e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-05 | train/loss: 7.136e+00 | train/loss_avg: 7.167e+00 | train/ppl: 1.257e+03 | train/ppl_avg: 1.296e+03 | optim/lr_eff: 1.577e-06 | optim/dual_norm_sq: 8.482e+06 | optim/grad_norm: 2.025e+00 | optim/dampening: 1.903e+01 | optim/dn_layer_std: 3.217e+01 | optim/dn_layer_max: 2.320e+02 | optim/update_norm: 7.200e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-05 | train/loss: 6.743e+00 | train/loss_avg: 6.957e+00 | train/ppl: 8.481e+02 | train/ppl_avg: 1.051e+03 | optim/lr_eff: 1.381e-06 | optim/dual_norm_sq: 9.461e+06 | optim/grad_norm: 2.250e+00 | optim/dampening: 2.172e+01 | optim/dn_layer_std: 3.365e+01 | optim/dn_layer_max: 2.423e+02 | optim/update_norm: 6.307e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-05 | train/loss: 6.700e+00 | train/loss_avg: 6.785e+00 | train/ppl: 8.125e+02 | train/ppl_avg: 8.848e+02 | optim/lr_eff: 1.213e-06 | optim/dual_norm_sq: 1.061e+07 | optim/grad_norm: 2.366e+00 | optim/dampening: 2.473e+01 | optim/dn_layer_std: 3.568e+01 | optim/dn_layer_max: 2.575e+02 | optim/update_norm: 5.544e-01
