=== Task 27 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 3e-2
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_3e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-02 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.615e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.244e+05 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-02 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.748e+05 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-02 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.996e-07 | optim/dual_norm_sq: 6.673e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.001e+05 | optim/dn_layer_std: 7.324e+01 | optim/dn_layer_max: 4.428e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-02 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.000e-07 | optim/dual_norm_sq: 3.771e+07 | optim/grad_norm: 7.773e+00 | optim/dampening: 6.000e+04 | optim/dn_layer_std: 5.347e+01 | optim/dn_layer_max: 3.354e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-02 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.401e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.724e-07 | optim/dual_norm_sq: 2.014e+07 | optim/grad_norm: 3.438e+00 | optim/dampening: 3.439e+04 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.963e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-02 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.080e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.668e-06 | optim/dual_norm_sq: 9.614e+06 | optim/grad_norm: 2.158e+00 | optim/dampening: 1.798e+04 | optim/dn_layer_std: 3.141e+01 | optim/dn_layer_max: 2.124e+02 | optim/update_norm: 7.600e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-02 | train/loss: 7.505e+00 | train/loss_avg: 7.761e+00 | train/ppl: 1.818e+03 | train/ppl_avg: 2.347e+03 | optim/lr_eff: 1.741e-06 | optim/dual_norm_sq: 8.643e+06 | optim/grad_norm: 2.513e+00 | optim/dampening: 1.723e+04 | optim/dn_layer_std: 3.126e+01 | optim/dn_layer_max: 2.205e+02 | optim/update_norm: 7.945e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-02 | train/loss: 7.184e+00 | train/loss_avg: 7.381e+00 | train/ppl: 1.318e+03 | train/ppl_avg: 1.605e+03 | optim/lr_eff: 1.677e-06 | optim/dual_norm_sq: 8.633e+06 | optim/grad_norm: 2.402e+00 | optim/dampening: 1.789e+04 | optim/dn_layer_std: 3.195e+01 | optim/dn_layer_max: 2.301e+02 | optim/update_norm: 7.655e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-02 | train/loss: 7.087e+00 | train/loss_avg: 7.115e+00 | train/ppl: 1.196e+03 | train/ppl_avg: 1.230e+03 | optim/lr_eff: 1.619e-06 | optim/dual_norm_sq: 8.660e+06 | optim/grad_norm: 2.216e+00 | optim/dampening: 1.853e+04 | optim/dn_layer_std: 3.219e+01 | optim/dn_layer_max: 2.328e+02 | optim/update_norm: 7.393e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-02 | train/loss: 6.695e+00 | train/loss_avg: 6.910e+00 | train/ppl: 8.086e+02 | train/ppl_avg: 1.002e+03 | optim/lr_eff: 1.270e-06 | optim/dual_norm_sq: 1.071e+07 | optim/grad_norm: 2.744e+00 | optim/dampening: 2.362e+04 | optim/dn_layer_std: 3.486e+01 | optim/dn_layer_max: 2.495e+02 | optim/update_norm: 5.801e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-02 | train/loss: 6.649e+00 | train/loss_avg: 6.737e+00 | train/ppl: 7.718e+02 | train/ppl_avg: 8.427e+02 | optim/lr_eff: 1.248e-06 | optim/dual_norm_sq: 1.066e+07 | optim/grad_norm: 2.432e+00 | optim/dampening: 2.403e+04 | optim/dn_layer_std: 3.508e+01 | optim/dn_layer_max: 2.534e+02 | optim/update_norm: 5.704e-01
