=== Task 18 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 1e-1
host   = mbz-titan-3
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_1e-1
Creating experiment directory: ./exps_410m/experiments/L1/lr_1e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-01 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 7.481e+05 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-01 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.828e+05 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-01 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.997e-07 | optim/dual_norm_sq: 6.671e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 3.336e+05 | optim/dn_layer_std: 7.323e+01 | optim/dn_layer_max: 4.427e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-01 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.000e-07 | optim/dual_norm_sq: 3.770e+07 | optim/grad_norm: 7.771e+00 | optim/dampening: 2.000e+05 | optim/dn_layer_std: 5.346e+01 | optim/dn_layer_max: 3.353e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-01 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.400e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.727e-07 | optim/dual_norm_sq: 2.013e+07 | optim/grad_norm: 3.436e+00 | optim/dampening: 1.146e+05 | optim/dn_layer_std: 4.002e+01 | optim/dn_layer_max: 2.553e+02 | optim/update_norm: 3.965e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-01 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.080e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.665e-06 | optim/dual_norm_sq: 9.635e+06 | optim/grad_norm: 2.171e+00 | optim/dampening: 6.007e+04 | optim/dn_layer_std: 3.144e+01 | optim/dn_layer_max: 2.126e+02 | optim/update_norm: 7.584e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-01 | train/loss: 7.511e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.828e+03 | train/ppl_avg: 2.349e+03 | optim/lr_eff: 1.593e-06 | optim/dual_norm_sq: 9.454e+06 | optim/grad_norm: 3.114e+00 | optim/dampening: 6.277e+04 | optim/dn_layer_std: 3.219e+01 | optim/dn_layer_max: 2.257e+02 | optim/update_norm: 7.269e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-01 | train/loss: 7.194e+00 | train/loss_avg: 7.387e+00 | train/ppl: 1.332e+03 | train/ppl_avg: 1.616e+03 | optim/lr_eff: 1.606e-06 | optim/dual_norm_sq: 9.024e+06 | optim/grad_norm: 2.743e+00 | optim/dampening: 6.225e+04 | optim/dn_layer_std: 3.247e+01 | optim/dn_layer_max: 2.361e+02 | optim/update_norm: 7.333e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-01 | train/loss: 7.081e+00 | train/loss_avg: 7.116e+00 | train/ppl: 1.189e+03 | train/ppl_avg: 1.232e+03 | optim/lr_eff: 1.401e-06 | optim/dual_norm_sq: 1.000e+07 | optim/grad_norm: 2.688e+00 | optim/dampening: 7.140e+04 | optim/dn_layer_std: 3.464e+01 | optim/dn_layer_max: 2.515e+02 | optim/update_norm: 6.395e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-01 | train/loss: 6.688e+00 | train/loss_avg: 6.902e+00 | train/ppl: 8.023e+02 | train/ppl_avg: 9.939e+02 | optim/lr_eff: 1.515e-06 | optim/dual_norm_sq: 8.964e+06 | optim/grad_norm: 1.915e+00 | optim/dampening: 6.599e+04 | optim/dn_layer_std: 3.296e+01 | optim/dn_layer_max: 2.403e+02 | optim/update_norm: 6.922e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-01 | train/loss: 6.643e+00 | train/loss_avg: 6.730e+00 | train/ppl: 7.671e+02 | train/ppl_avg: 8.373e+02 | optim/lr_eff: 1.298e-06 | optim/dual_norm_sq: 1.025e+07 | optim/grad_norm: 2.294e+00 | optim/dampening: 7.704e+04 | optim/dn_layer_std: 3.471e+01 | optim/dn_layer_max: 2.468e+02 | optim/update_norm: 5.931e-01
