=== Task 3 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-04 | train/loss: 4.467e+00 | train/loss_avg: 4.610e+00 | train/ppl: 8.708e+01 | train/ppl_avg: 1.005e+02 | optim/grad_norm: 3.794e-01 | optim/update_norm: 9.340e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 3.000e-04 | train/loss: 4.458e+00 | train/loss_avg: 4.477e+00 | train/ppl: 8.636e+01 | train/ppl_avg: 8.797e+01 | optim/grad_norm: 5.387e-01 | optim/update_norm: 9.559e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 3.000e-04 | train/loss: 4.260e+00 | train/loss_avg: 4.366e+00 | train/ppl: 7.078e+01 | train/ppl_avg: 7.875e+01 | optim/grad_norm: 4.952e-01 | optim/update_norm: 9.764e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 3.000e-04 | train/loss: 4.239e+00 | train/loss_avg: 4.266e+00 | train/ppl: 6.932e+01 | train/ppl_avg: 7.124e+01 | optim/grad_norm: 6.044e-01 | optim/update_norm: 1.006e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 3.000e-04 | train/loss: 4.334e+00 | train/loss_avg: 4.181e+00 | train/ppl: 7.628e+01 | train/ppl_avg: 6.545e+01 | optim/grad_norm: 3.972e-01 | optim/update_norm: 9.978e-01 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 28800 | step: 900 | tokens: 471859200 | lr: 3.000e-04 | train/loss: 4.219e+00 | train/loss_avg: 4.110e+00 | train/ppl: 6.797e+01 | train/ppl_avg: 6.096e+01 | optim/grad_norm: 4.473e-01 | optim/update_norm: 1.032e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 30400 | step: 950 | tokens: 498073600 | lr: 3.000e-04 | train/loss: 4.040e+00 | train/loss_avg: 4.047e+00 | train/ppl: 5.682e+01 | train/ppl_avg: 5.724e+01 | optim/grad_norm: 3.814e-01 | optim/update_norm: 1.042e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
Evaluating on validation set
micro_step: 32000 | step: 1000 | tokens: 524288000 | lr: 3.000e-04 | train/loss: 4.073e+00 | train/loss_avg: 3.992e+00 | train/ppl: 5.875e+01 | train/ppl_avg: 5.415e+01 | valid/loss: 3.960e+00 | valid/ppl: 5.244e+01 | optim/grad_norm: 3.703e-01 | optim/update_norm: 1.052e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 33600 | step: 1050 | tokens: 550502400 | lr: 3.000e-04 | train/loss: 3.894e+00 | train/loss_avg: 3.943e+00 | train/ppl: 4.911e+01 | train/ppl_avg: 5.155e+01 | optim/grad_norm: 4.110e-01 | optim/update_norm: 1.080e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 35200 | step: 1100 | tokens: 576716800 | lr: 3.000e-04 | train/loss: 3.692e+00 | train/loss_avg: 3.900e+00 | train/ppl: 4.013e+01 | train/ppl_avg: 4.942e+01 | optim/grad_norm: 3.206e-01 | optim/update_norm: 1.077e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 36800 | step: 1150 | tokens: 602931200 | lr: 3.000e-04 | train/loss: 3.715e+00 | train/loss_avg: 3.859e+00 | train/ppl: 4.104e+01 | train/ppl_avg: 4.739e+01 | optim/grad_norm: 3.715e-01 | optim/update_norm: 1.100e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 38400 | step: 1200 | tokens: 629145600 | lr: 3.000e-04 | train/loss: 3.616e+00 | train/loss_avg: 3.828e+00 | train/ppl: 3.720e+01 | train/ppl_avg: 4.596e+01 | optim/grad_norm: 3.332e-01 | optim/update_norm: 1.104e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 40000 | step: 1250 | tokens: 655360000 | lr: 3.000e-04 | train/loss: 3.629e+00 | train/loss_avg: 3.800e+00 | train/ppl: 3.766e+01 | train/ppl_avg: 4.469e+01 | optim/grad_norm: 2.929e-01 | optim/update_norm: 1.106e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 41600 | step: 1300 | tokens: 681574400 | lr: 3.000e-04 | train/loss: 3.635e+00 | train/loss_avg: 3.761e+00 | train/ppl: 3.792e+01 | train/ppl_avg: 4.298e+01 | optim/grad_norm: 3.254e-01 | optim/update_norm: 1.121e+00 | optim/lr_eff: 3.000e-04 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
