=== Task 5 ===
config = exps_410m/config/sweep_adamw.yaml
lr     = 3e-3
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/adamw/lr_3e-3
Creating experiment directory: ./exps_410m/experiments/adamw/lr_3e-3
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-03 | train/loss: 7.750e+00 | train/loss_avg: 8.046e+00 | train/ppl: 2.322e+03 | train/ppl_avg: 3.120e+03 | optim/grad_norm: 2.978e-01 | optim/update_norm: 2.657e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-03 | train/loss: 7.846e+00 | train/loss_avg: 7.742e+00 | train/ppl: 2.555e+03 | train/ppl_avg: 2.304e+03 | optim/grad_norm: 2.911e-01 | optim/update_norm: 4.390e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-03 | train/loss: 7.240e+00 | train/loss_avg: 7.438e+00 | train/ppl: 1.394e+03 | train/ppl_avg: 1.699e+03 | optim/grad_norm: 2.012e-01 | optim/update_norm: 6.700e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-03 | train/loss: 6.746e+00 | train/loss_avg: 6.980e+00 | train/ppl: 8.503e+02 | train/ppl_avg: 1.075e+03 | optim/grad_norm: 2.794e-01 | optim/update_norm: 7.290e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-03 | train/loss: 6.589e+00 | train/loss_avg: 6.712e+00 | train/ppl: 7.274e+02 | train/ppl_avg: 8.222e+02 | optim/grad_norm: 2.033e-01 | optim/update_norm: 7.971e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-03 | train/loss: 6.390e+00 | train/loss_avg: 6.507e+00 | train/ppl: 5.959e+02 | train/ppl_avg: 6.696e+02 | optim/grad_norm: 1.802e-01 | optim/update_norm: 9.150e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-03 | train/loss: 6.205e+00 | train/loss_avg: 6.348e+00 | train/ppl: 4.953e+02 | train/ppl_avg: 5.713e+02 | optim/grad_norm: 2.983e-01 | optim/update_norm: 9.223e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-03 | train/loss: 6.100e+00 | train/loss_avg: 6.220e+00 | train/ppl: 4.458e+02 | train/ppl_avg: 5.028e+02 | optim/grad_norm: 3.209e-01 | optim/update_norm: 9.501e+00 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-03 | train/loss: 6.202e+00 | train/loss_avg: 6.120e+00 | train/ppl: 4.939e+02 | train/ppl_avg: 4.551e+02 | optim/grad_norm: 4.782e-01 | optim/update_norm: 1.013e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-03 | train/loss: 5.954e+00 | train/loss_avg: 6.070e+00 | train/ppl: 3.852e+02 | train/ppl_avg: 4.327e+02 | optim/grad_norm: 5.468e-01 | optim/update_norm: 1.050e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-03 | train/loss: 5.991e+00 | train/loss_avg: 6.041e+00 | train/ppl: 3.999e+02 | train/ppl_avg: 4.205e+02 | optim/grad_norm: 7.257e-01 | optim/update_norm: 1.073e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 3.000e-03 | train/loss: 6.141e+00 | train/loss_avg: 6.015e+00 | train/ppl: 4.644e+02 | train/ppl_avg: 4.095e+02 | optim/grad_norm: 1.145e+00 | optim/update_norm: 1.150e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-03 | train/loss: 6.056e+00 | train/loss_avg: 6.072e+00 | train/ppl: 4.265e+02 | train/ppl_avg: 4.334e+02 | optim/grad_norm: 2.627e+00 | optim/update_norm: 1.099e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 3.000e-03 | train/loss: 6.042e+00 | train/loss_avg: 6.059e+00 | train/ppl: 4.208e+02 | train/ppl_avg: 4.281e+02 | optim/grad_norm: 1.795e+00 | optim/update_norm: 1.024e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 3.000e-03 | train/loss: 5.932e+00 | train/loss_avg: 6.043e+00 | train/ppl: 3.770e+02 | train/ppl_avg: 4.210e+02 | optim/grad_norm: 1.539e+00 | optim/update_norm: 1.042e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 3.000e-03 | train/loss: 6.003e+00 | train/loss_avg: 6.004e+00 | train/ppl: 4.047e+02 | train/ppl_avg: 4.052e+02 | optim/grad_norm: 2.542e+00 | optim/update_norm: 1.027e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 3.000e-03 | train/loss: 5.979e+00 | train/loss_avg: 5.971e+00 | train/ppl: 3.951e+02 | train/ppl_avg: 3.917e+02 | optim/grad_norm: 1.972e+00 | optim/update_norm: 1.081e+01 | optim/lr_eff: 3.000e-03 | optim/dampening: 1.000e+00 | optim/dual_norm_sq: 0.000e+00 | optim/dn_layer_std: 0.000e+00 | optim/dn_layer_max: 0.000e+00
