=== Task 28 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 1e-1
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_1e-1
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-01 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 7.480e+05 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.603e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-01 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.288e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.828e+05 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.760e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-01 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.997e-07 | optim/dual_norm_sq: 6.672e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 3.337e+05 | optim/dn_layer_std: 7.323e+01 | optim/dn_layer_max: 4.428e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-01 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.000e-07 | optim/dual_norm_sq: 3.771e+07 | optim/grad_norm: 7.773e+00 | optim/dampening: 2.000e+05 | optim/dn_layer_std: 5.346e+01 | optim/dn_layer_max: 3.354e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-01 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.400e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.724e-07 | optim/dual_norm_sq: 2.014e+07 | optim/grad_norm: 3.438e+00 | optim/dampening: 1.146e+05 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.963e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-01 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.080e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.663e-06 | optim/dual_norm_sq: 9.643e+06 | optim/grad_norm: 2.185e+00 | optim/dampening: 6.013e+04 | optim/dn_layer_std: 3.145e+01 | optim/dn_layer_max: 2.126e+02 | optim/update_norm: 7.577e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-01 | train/loss: 7.509e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.825e+03 | train/ppl_avg: 2.349e+03 | optim/lr_eff: 1.614e-06 | optim/dual_norm_sq: 9.330e+06 | optim/grad_norm: 2.930e+00 | optim/dampening: 6.196e+04 | optim/dn_layer_std: 3.220e+01 | optim/dn_layer_max: 2.266e+02 | optim/update_norm: 7.364e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-01 | train/loss: 7.190e+00 | train/loss_avg: 7.389e+00 | train/ppl: 1.327e+03 | train/ppl_avg: 1.617e+03 | optim/lr_eff: 1.632e-06 | optim/dual_norm_sq: 8.882e+06 | optim/grad_norm: 2.192e+00 | optim/dampening: 6.129e+04 | optim/dn_layer_std: 3.291e+01 | optim/dn_layer_max: 2.375e+02 | optim/update_norm: 7.449e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-01 | train/loss: 7.081e+00 | train/loss_avg: 7.115e+00 | train/ppl: 1.189e+03 | train/ppl_avg: 1.230e+03 | optim/lr_eff: 1.663e-06 | optim/dual_norm_sq: 8.425e+06 | optim/grad_norm: 2.119e+00 | optim/dampening: 6.015e+04 | optim/dn_layer_std: 3.185e+01 | optim/dn_layer_max: 2.288e+02 | optim/update_norm: 7.591e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-01 | train/loss: 6.688e+00 | train/loss_avg: 6.902e+00 | train/ppl: 8.029e+02 | train/ppl_avg: 9.944e+02 | optim/lr_eff: 1.455e-06 | optim/dual_norm_sq: 9.335e+06 | optim/grad_norm: 2.074e+00 | optim/dampening: 6.871e+04 | optim/dn_layer_std: 3.318e+01 | optim/dn_layer_max: 2.384e+02 | optim/update_norm: 6.648e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-01 | train/loss: 6.640e+00 | train/loss_avg: 6.728e+00 | train/ppl: 7.647e+02 | train/ppl_avg: 8.358e+02 | optim/lr_eff: 1.340e-06 | optim/dual_norm_sq: 9.919e+06 | optim/grad_norm: 2.209e+00 | optim/dampening: 7.461e+04 | optim/dn_layer_std: 3.413e+01 | optim/dn_layer_max: 2.451e+02 | optim/update_norm: 6.124e-01
