=== Task 21 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 3e-5
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_3e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-05 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.622e+04 | train/ppl_avg: 5.373e+04 | optim/lr_eff: 1.330e-07 | optim/dual_norm_sq: 1.608e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.255e+02 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.605e+02 | optim/update_norm: 5.992e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-05 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.297e+04 | train/ppl_avg: 3.904e+04 | optim/lr_eff: 1.700e-07 | optim/dual_norm_sq: 1.218e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.765e+02 | optim/dn_layer_std: 1.072e+02 | optim/dn_layer_max: 6.350e+02 | optim/update_norm: 7.688e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-05 | train/loss: 9.979e+00 | train/loss_avg: 1.021e+01 | train/ppl: 2.158e+04 | train/ppl_avg: 2.713e+04 | optim/lr_eff: 2.936e-07 | optim/dual_norm_sq: 6.747e+07 | optim/grad_norm: 1.160e+01 | optim/dampening: 1.022e+02 | optim/dn_layer_std: 7.371e+01 | optim/dn_layer_max: 4.450e+02 | optim/update_norm: 1.329e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-05 | train/loss: 9.411e+00 | train/loss_avg: 9.736e+00 | train/ppl: 1.223e+04 | train/ppl_avg: 1.692e+04 | optim/lr_eff: 4.851e-07 | optim/dual_norm_sq: 3.831e+07 | optim/grad_norm: 7.913e+00 | optim/dampening: 6.184e+01 | optim/dn_layer_std: 5.389e+01 | optim/dn_layer_max: 3.373e+02 | optim/update_norm: 2.199e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-05 | train/loss: 8.800e+00 | train/loss_avg: 9.140e+00 | train/ppl: 6.634e+03 | train/ppl_avg: 9.321e+03 | optim/lr_eff: 8.163e-07 | optim/dual_norm_sq: 2.102e+07 | optim/grad_norm: 3.612e+00 | optim/dampening: 3.675e+01 | optim/dn_layer_std: 4.077e+01 | optim/dn_layer_max: 2.594e+02 | optim/update_norm: 3.708e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-05 | train/loss: 8.094e+00 | train/loss_avg: 8.444e+00 | train/ppl: 3.276e+03 | train/ppl_avg: 4.646e+03 | optim/lr_eff: 1.574e-06 | optim/dual_norm_sq: 9.728e+06 | optim/grad_norm: 1.914e+00 | optim/dampening: 1.906e+01 | optim/dn_layer_std: 3.157e+01 | optim/dn_layer_max: 2.146e+02 | optim/update_norm: 7.170e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-05 | train/loss: 7.563e+00 | train/loss_avg: 7.820e+00 | train/ppl: 1.925e+03 | train/ppl_avg: 2.490e+03 | optim/lr_eff: 1.601e-06 | optim/dual_norm_sq: 8.965e+06 | optim/grad_norm: 2.480e+00 | optim/dampening: 1.874e+01 | optim/dn_layer_std: 3.172e+01 | optim/dn_layer_max: 2.230e+02 | optim/update_norm: 7.305e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-05 | train/loss: 7.232e+00 | train/loss_avg: 7.432e+00 | train/ppl: 1.383e+03 | train/ppl_avg: 1.689e+03 | optim/lr_eff: 1.503e-06 | optim/dual_norm_sq: 9.214e+06 | optim/grad_norm: 2.700e+00 | optim/dampening: 1.996e+01 | optim/dn_layer_std: 3.249e+01 | optim/dn_layer_max: 2.298e+02 | optim/update_norm: 6.860e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-05 | train/loss: 7.128e+00 | train/loss_avg: 7.160e+00 | train/ppl: 1.247e+03 | train/ppl_avg: 1.287e+03 | optim/lr_eff: 1.558e-06 | optim/dual_norm_sq: 8.580e+06 | optim/grad_norm: 2.327e+00 | optim/dampening: 1.925e+01 | optim/dn_layer_std: 3.179e+01 | optim/dn_layer_max: 2.268e+02 | optim/update_norm: 7.116e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-05 | train/loss: 6.734e+00 | train/loss_avg: 6.948e+00 | train/ppl: 8.407e+02 | train/ppl_avg: 1.041e+03 | optim/lr_eff: 1.483e-06 | optim/dual_norm_sq: 8.766e+06 | optim/grad_norm: 1.852e+00 | optim/dampening: 2.023e+01 | optim/dn_layer_std: 3.235e+01 | optim/dn_layer_max: 2.316e+02 | optim/update_norm: 6.774e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-05 | train/loss: 6.690e+00 | train/loss_avg: 6.776e+00 | train/ppl: 8.045e+02 | train/ppl_avg: 8.766e+02 | optim/lr_eff: 1.239e-06 | optim/dual_norm_sq: 1.037e+07 | optim/grad_norm: 2.316e+00 | optim/dampening: 2.422e+01 | optim/dn_layer_std: 3.519e+01 | optim/dn_layer_max: 2.548e+02 | optim/update_norm: 5.660e-01
