=== Task 13 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 3e-4
host   = mbz-titan-2
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_3e-4
Creating experiment directory: ./exps_410m/experiments/L1/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-04 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.336e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.245e+03 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.019e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-04 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.289e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.714e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.750e+03 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.754e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-04 | train/loss: 9.973e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.143e+04 | train/ppl_avg: 2.701e+04 | optim/lr_eff: 2.991e-07 | optim/dual_norm_sq: 6.678e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.003e+03 | optim/dn_layer_std: 7.327e+01 | optim/dn_layer_max: 4.429e+02 | optim/update_norm: 1.354e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-04 | train/loss: 9.395e+00 | train/loss_avg: 9.725e+00 | train/ppl: 1.202e+04 | train/ppl_avg: 1.673e+04 | optim/lr_eff: 4.985e-07 | optim/dual_norm_sq: 3.777e+07 | optim/grad_norm: 7.786e+00 | optim/dampening: 6.018e+02 | optim/dn_layer_std: 5.350e+01 | optim/dn_layer_max: 3.355e+02 | optim/update_norm: 2.260e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-04 | train/loss: 8.768e+00 | train/loss_avg: 9.116e+00 | train/ppl: 6.424e+03 | train/ppl_avg: 9.103e+03 | optim/lr_eff: 8.663e-07 | optim/dual_norm_sq: 2.023e+07 | optim/grad_norm: 3.455e+00 | optim/dampening: 3.463e+02 | optim/dn_layer_std: 4.010e+01 | optim/dn_layer_max: 2.556e+02 | optim/update_norm: 3.936e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-04 | train/loss: 8.040e+00 | train/loss_avg: 8.398e+00 | train/ppl: 3.102e+03 | train/ppl_avg: 4.440e+03 | optim/lr_eff: 1.644e-06 | optim/dual_norm_sq: 9.712e+06 | optim/grad_norm: 2.198e+00 | optim/dampening: 1.825e+02 | optim/dn_layer_std: 3.151e+01 | optim/dn_layer_max: 2.129e+02 | optim/update_norm: 7.489e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-04 | train/loss: 7.518e+00 | train/loss_avg: 7.769e+00 | train/ppl: 1.841e+03 | train/ppl_avg: 2.365e+03 | optim/lr_eff: 1.587e-06 | optim/dual_norm_sq: 9.449e+06 | optim/grad_norm: 2.927e+00 | optim/dampening: 1.890e+02 | optim/dn_layer_std: 3.247e+01 | optim/dn_layer_max: 2.282e+02 | optim/update_norm: 7.242e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-04 | train/loss: 7.200e+00 | train/loss_avg: 7.397e+00 | train/ppl: 1.339e+03 | train/ppl_avg: 1.631e+03 | optim/lr_eff: 1.718e-06 | optim/dual_norm_sq: 8.397e+06 | optim/grad_norm: 2.215e+00 | optim/dampening: 1.746e+02 | optim/dn_layer_std: 3.171e+01 | optim/dn_layer_max: 2.263e+02 | optim/update_norm: 7.843e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-04 | train/loss: 7.089e+00 | train/loss_avg: 7.125e+00 | train/ppl: 1.199e+03 | train/ppl_avg: 1.242e+03 | optim/lr_eff: 1.675e-06 | optim/dual_norm_sq: 8.325e+06 | optim/grad_norm: 2.057e+00 | optim/dampening: 1.791e+02 | optim/dn_layer_std: 3.160e+01 | optim/dn_layer_max: 2.256e+02 | optim/update_norm: 7.649e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-04 | train/loss: 6.703e+00 | train/loss_avg: 6.911e+00 | train/ppl: 8.146e+02 | train/ppl_avg: 1.003e+03 | optim/lr_eff: 1.152e-06 | optim/dual_norm_sq: 1.177e+07 | optim/grad_norm: 2.938e+00 | optim/dampening: 2.603e+02 | optim/dn_layer_std: 3.729e+01 | optim/dn_layer_max: 2.700e+02 | optim/update_norm: 5.264e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-04 | train/loss: 6.651e+00 | train/loss_avg: 6.740e+00 | train/ppl: 7.736e+02 | train/ppl_avg: 8.456e+02 | optim/lr_eff: 1.297e-06 | optim/dual_norm_sq: 1.022e+07 | optim/grad_norm: 2.350e+00 | optim/dampening: 2.312e+02 | optim/dn_layer_std: 3.442e+01 | optim/dn_layer_max: 2.453e+02 | optim/update_norm: 5.928e-01
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 3.000e-04 | train/loss: 6.679e+00 | train/loss_avg: 6.589e+00 | train/ppl: 7.955e+02 | train/ppl_avg: 7.272e+02 | optim/lr_eff: 1.172e-06 | optim/dual_norm_sq: 1.111e+07 | optim/grad_norm: 1.876e+00 | optim/dampening: 2.560e+02 | optim/dn_layer_std: 3.568e+01 | optim/dn_layer_max: 2.567e+02 | optim/update_norm: 5.355e-01
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 3.000e-04 | train/loss: 6.401e+00 | train/loss_avg: 6.468e+00 | train/ppl: 6.025e+02 | train/ppl_avg: 6.443e+02 | optim/lr_eff: 7.762e-07 | optim/dual_norm_sq: 1.648e+07 | optim/grad_norm: 3.662e+00 | optim/dampening: 3.865e+02 | optim/dn_layer_std: 4.304e+01 | optim/dn_layer_max: 3.081e+02 | optim/update_norm: 3.548e-01
