=== Task 10 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 1e-5
host   = mbz-titan-1
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_1e-5
Creating experiment directory: ./exps_410m/experiments/L1/lr_1e-5
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-05 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.633e+04 | train/ppl_avg: 5.380e+04 | optim/lr_eff: 1.317e-07 | optim/dual_norm_sq: 1.610e+08 | optim/grad_norm: 1.240e+01 | optim/dampening: 7.592e+01 | optim/dn_layer_std: 1.294e+02 | optim/dn_layer_max: 7.613e+02 | optim/update_norm: 5.933e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-05 | train/loss: 1.041e+01 | train/loss_avg: 1.058e+01 | train/ppl: 3.317e+04 | train/ppl_avg: 3.920e+04 | optim/lr_eff: 1.669e-07 | optim/dual_norm_sq: 1.227e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.991e+01 | optim/dn_layer_std: 1.077e+02 | optim/dn_layer_max: 6.379e+02 | optim/update_norm: 7.549e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-05 | train/loss: 9.994e+00 | train/loss_avg: 1.022e+01 | train/ppl: 2.189e+04 | train/ppl_avg: 2.740e+04 | optim/lr_eff: 2.824e-07 | optim/dual_norm_sq: 6.894e+07 | optim/grad_norm: 1.168e+01 | optim/dampening: 3.541e+01 | optim/dn_layer_std: 7.466e+01 | optim/dn_layer_max: 4.496e+02 | optim/update_norm: 1.279e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-05 | train/loss: 9.446e+00 | train/loss_avg: 9.760e+00 | train/ppl: 1.265e+04 | train/ppl_avg: 1.732e+04 | optim/lr_eff: 4.581e-07 | optim/dual_norm_sq: 3.949e+07 | optim/grad_norm: 8.181e+00 | optim/dampening: 2.183e+01 | optim/dn_layer_std: 5.471e+01 | optim/dn_layer_max: 3.412e+02 | optim/update_norm: 2.077e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-05 | train/loss: 8.865e+00 | train/loss_avg: 9.189e+00 | train/ppl: 7.081e+03 | train/ppl_avg: 9.789e+03 | optim/lr_eff: 7.282e-07 | optim/dual_norm_sq: 2.263e+07 | optim/grad_norm: 3.944e+00 | optim/dampening: 1.373e+01 | optim/dn_layer_std: 4.218e+01 | optim/dn_layer_max: 2.685e+02 | optim/update_norm: 3.308e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-05 | train/loss: 8.201e+00 | train/loss_avg: 8.534e+00 | train/ppl: 3.646e+03 | train/ppl_avg: 5.084e+03 | optim/lr_eff: 1.361e-06 | optim/dual_norm_sq: 1.040e+07 | optim/grad_norm: 1.824e+00 | optim/dampening: 7.349e+00 | optim/dn_layer_std: 3.198e+01 | optim/dn_layer_max: 2.143e+02 | optim/update_norm: 6.196e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-05 | train/loss: 7.675e+00 | train/loss_avg: 7.931e+00 | train/ppl: 2.153e+03 | train/ppl_avg: 2.781e+03 | optim/lr_eff: 1.507e-06 | optim/dual_norm_sq: 8.662e+06 | optim/grad_norm: 1.866e+00 | optim/dampening: 6.634e+00 | optim/dn_layer_std: 3.158e+01 | optim/dn_layer_max: 2.225e+02 | optim/update_norm: 6.879e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-05 | train/loss: 7.335e+00 | train/loss_avg: 7.536e+00 | train/ppl: 1.533e+03 | train/ppl_avg: 1.875e+03 | optim/lr_eff: 1.274e-06 | optim/dual_norm_sq: 1.013e+07 | optim/grad_norm: 2.835e+00 | optim/dampening: 7.848e+00 | optim/dn_layer_std: 3.448e+01 | optim/dn_layer_max: 2.531e+02 | optim/update_norm: 5.817e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-05 | train/loss: 7.234e+00 | train/loss_avg: 7.263e+00 | train/ppl: 1.385e+03 | train/ppl_avg: 1.427e+03 | optim/lr_eff: 1.369e-06 | optim/dual_norm_sq: 9.022e+06 | optim/grad_norm: 2.515e+00 | optim/dampening: 7.305e+00 | optim/dn_layer_std: 3.255e+01 | optim/dn_layer_max: 2.317e+02 | optim/update_norm: 6.252e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-05 | train/loss: 6.845e+00 | train/loss_avg: 7.055e+00 | train/ppl: 9.393e+02 | train/ppl_avg: 1.159e+03 | optim/lr_eff: 1.263e-06 | optim/dual_norm_sq: 9.613e+06 | optim/grad_norm: 2.165e+00 | optim/dampening: 7.917e+00 | optim/dn_layer_std: 3.434e+01 | optim/dn_layer_max: 2.506e+02 | optim/update_norm: 5.769e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-05 | train/loss: 6.794e+00 | train/loss_avg: 6.885e+00 | train/ppl: 8.928e+02 | train/ppl_avg: 9.771e+02 | optim/lr_eff: 1.193e-06 | optim/dual_norm_sq: 1.005e+07 | optim/grad_norm: 2.412e+00 | optim/dampening: 8.383e+00 | optim/dn_layer_std: 3.459e+01 | optim/dn_layer_max: 2.510e+02 | optim/update_norm: 5.450e-01
