=== Task 17 ===
config = exps_410m/config/sweep_L1.yaml
lr     = 3e-2
host   = mbz-titan-3
gpu    = 0
Removing experiment dir: ./exps_410m/experiments/L1/lr_3e-2
Creating experiment directory: ./exps_410m/experiments/L1/lr_3e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-02 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.616e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.606e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.244e+05 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.601e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-02 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.748e+05 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.335e+02 | optim/update_norm: 7.761e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-02 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.997e-07 | optim/dual_norm_sq: 6.671e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.001e+05 | optim/dn_layer_std: 7.322e+01 | optim/dn_layer_max: 4.427e+02 | optim/update_norm: 1.357e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-02 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.200e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.001e-07 | optim/dual_norm_sq: 3.770e+07 | optim/grad_norm: 7.772e+00 | optim/dampening: 5.999e+04 | optim/dn_layer_std: 5.346e+01 | optim/dn_layer_max: 3.353e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-02 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.400e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.725e-07 | optim/dual_norm_sq: 2.013e+07 | optim/grad_norm: 3.438e+00 | optim/dampening: 3.438e+04 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.964e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-02 | train/loss: 8.033e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.082e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.663e-06 | optim/dual_norm_sq: 9.643e+06 | optim/grad_norm: 2.179e+00 | optim/dampening: 1.804e+04 | optim/dn_layer_std: 3.144e+01 | optim/dn_layer_max: 2.125e+02 | optim/update_norm: 7.577e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-02 | train/loss: 7.510e+00 | train/loss_avg: 7.762e+00 | train/ppl: 1.826e+03 | train/ppl_avg: 2.351e+03 | optim/lr_eff: 1.630e-06 | optim/dual_norm_sq: 9.238e+06 | optim/grad_norm: 2.854e+00 | optim/dampening: 1.840e+04 | optim/dn_layer_std: 3.202e+01 | optim/dn_layer_max: 2.249e+02 | optim/update_norm: 7.438e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-02 | train/loss: 7.190e+00 | train/loss_avg: 7.387e+00 | train/ppl: 1.325e+03 | train/ppl_avg: 1.616e+03 | optim/lr_eff: 1.622e-06 | optim/dual_norm_sq: 8.932e+06 | optim/grad_norm: 2.325e+00 | optim/dampening: 1.849e+04 | optim/dn_layer_std: 3.261e+01 | optim/dn_layer_max: 2.346e+02 | optim/update_norm: 7.405e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-02 | train/loss: 7.086e+00 | train/loss_avg: 7.117e+00 | train/ppl: 1.196e+03 | train/ppl_avg: 1.233e+03 | optim/lr_eff: 1.472e-06 | optim/dual_norm_sq: 9.523e+06 | optim/grad_norm: 2.887e+00 | optim/dampening: 2.038e+04 | optim/dn_layer_std: 3.288e+01 | optim/dn_layer_max: 2.344e+02 | optim/update_norm: 6.723e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-02 | train/loss: 6.692e+00 | train/loss_avg: 6.907e+00 | train/ppl: 8.058e+02 | train/ppl_avg: 9.994e+02 | optim/lr_eff: 1.391e-06 | optim/dual_norm_sq: 9.773e+06 | optim/grad_norm: 2.428e+00 | optim/dampening: 2.157e+04 | optim/dn_layer_std: 3.373e+01 | optim/dn_layer_max: 2.419e+02 | optim/update_norm: 6.353e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-02 | train/loss: 6.642e+00 | train/loss_avg: 6.731e+00 | train/ppl: 7.664e+02 | train/ppl_avg: 8.379e+02 | optim/lr_eff: 1.346e-06 | optim/dual_norm_sq: 9.881e+06 | optim/grad_norm: 2.224e+00 | optim/dampening: 2.229e+04 | optim/dn_layer_std: 3.415e+01 | optim/dn_layer_max: 2.471e+02 | optim/update_norm: 6.149e-01
