=== Task 26 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 1e-2
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_1e-2
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 1.000e-02 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.615e+04 | train/ppl_avg: 5.370e+04 | optim/lr_eff: 1.337e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 7.480e+04 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.022e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 1.000e-02 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.287e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.716e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 5.829e+04 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.760e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 1.000e-02 | train/loss: 9.972e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.141e+04 | train/ppl_avg: 2.699e+04 | optim/lr_eff: 2.996e-07 | optim/dual_norm_sq: 6.673e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 3.338e+04 | optim/dn_layer_std: 7.324e+01 | optim/dn_layer_max: 4.428e+02 | optim/update_norm: 1.356e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 1.000e-02 | train/loss: 9.393e+00 | train/loss_avg: 9.724e+00 | train/ppl: 1.201e+04 | train/ppl_avg: 1.671e+04 | optim/lr_eff: 5.000e-07 | optim/dual_norm_sq: 3.771e+07 | optim/grad_norm: 7.772e+00 | optim/dampening: 2.000e+04 | optim/dn_layer_std: 5.346e+01 | optim/dn_layer_max: 3.353e+02 | optim/update_norm: 2.267e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 1.000e-02 | train/loss: 8.764e+00 | train/loss_avg: 9.114e+00 | train/ppl: 6.401e+03 | train/ppl_avg: 9.079e+03 | optim/lr_eff: 8.723e-07 | optim/dual_norm_sq: 2.014e+07 | optim/grad_norm: 3.439e+00 | optim/dampening: 1.146e+04 | optim/dn_layer_std: 4.003e+01 | optim/dn_layer_max: 2.554e+02 | optim/update_norm: 3.963e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 1.000e-02 | train/loss: 8.032e+00 | train/loss_avg: 8.393e+00 | train/ppl: 3.079e+03 | train/ppl_avg: 4.417e+03 | optim/lr_eff: 1.670e-06 | optim/dual_norm_sq: 9.600e+06 | optim/grad_norm: 2.150e+00 | optim/dampening: 5.987e+03 | optim/dn_layer_std: 3.140e+01 | optim/dn_layer_max: 2.124e+02 | optim/update_norm: 7.610e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 1.000e-02 | train/loss: 7.510e+00 | train/loss_avg: 7.761e+00 | train/ppl: 1.827e+03 | train/ppl_avg: 2.347e+03 | optim/lr_eff: 1.480e-06 | optim/dual_norm_sq: 1.018e+07 | optim/grad_norm: 3.551e+00 | optim/dampening: 6.759e+03 | optim/dn_layer_std: 3.320e+01 | optim/dn_layer_max: 2.371e+02 | optim/update_norm: 6.751e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 1.000e-02 | train/loss: 7.195e+00 | train/loss_avg: 7.390e+00 | train/ppl: 1.333e+03 | train/ppl_avg: 1.620e+03 | optim/lr_eff: 1.529e-06 | optim/dual_norm_sq: 9.482e+06 | optim/grad_norm: 2.751e+00 | optim/dampening: 6.541e+03 | optim/dn_layer_std: 3.313e+01 | optim/dn_layer_max: 2.399e+02 | optim/update_norm: 6.980e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 1.000e-02 | train/loss: 7.083e+00 | train/loss_avg: 7.117e+00 | train/ppl: 1.192e+03 | train/ppl_avg: 1.233e+03 | optim/lr_eff: 1.544e-06 | optim/dual_norm_sq: 9.076e+06 | optim/grad_norm: 2.373e+00 | optim/dampening: 6.479e+03 | optim/dn_layer_std: 3.297e+01 | optim/dn_layer_max: 2.365e+02 | optim/update_norm: 7.048e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 1.000e-02 | train/loss: 6.685e+00 | train/loss_avg: 6.900e+00 | train/ppl: 8.004e+02 | train/ppl_avg: 9.923e+02 | optim/lr_eff: 1.564e-06 | optim/dual_norm_sq: 8.682e+06 | optim/grad_norm: 1.810e+00 | optim/dampening: 6.394e+03 | optim/dn_layer_std: 3.227e+01 | optim/dn_layer_max: 2.323e+02 | optim/update_norm: 7.143e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 1.000e-02 | train/loss: 6.636e+00 | train/loss_avg: 6.725e+00 | train/ppl: 7.620e+02 | train/ppl_avg: 8.334e+02 | optim/lr_eff: 1.393e-06 | optim/dual_norm_sq: 9.537e+06 | optim/grad_norm: 1.996e+00 | optim/dampening: 7.179e+03 | optim/dn_layer_std: 3.354e+01 | optim/dn_layer_max: 2.428e+02 | optim/update_norm: 6.365e-01
micro_step: 19200 | step: 600 | tokens: 314572800 | lr: 1.000e-02 | train/loss: 6.665e+00 | train/loss_avg: 6.575e+00 | train/ppl: 7.848e+02 | train/ppl_avg: 7.167e+02 | optim/lr_eff: 1.118e-06 | optim/dual_norm_sq: 1.167e+07 | optim/grad_norm: 2.179e+00 | optim/dampening: 8.944e+03 | optim/dn_layer_std: 3.629e+01 | optim/dn_layer_max: 2.584e+02 | optim/update_norm: 5.110e-01
micro_step: 20800 | step: 650 | tokens: 340787200 | lr: 1.000e-02 | train/loss: 6.388e+00 | train/loss_avg: 6.456e+00 | train/ppl: 5.949e+02 | train/ppl_avg: 6.363e+02 | optim/lr_eff: 8.647e-07 | optim/dual_norm_sq: 1.480e+07 | optim/grad_norm: 3.179e+00 | optim/dampening: 1.156e+04 | optim/dn_layer_std: 4.163e+01 | optim/dn_layer_max: 3.022e+02 | optim/update_norm: 3.953e-01
micro_step: 22400 | step: 700 | tokens: 367001600 | lr: 1.000e-02 | train/loss: 6.339e+00 | train/loss_avg: 6.355e+00 | train/ppl: 5.663e+02 | train/ppl_avg: 5.756e+02 | optim/lr_eff: 9.033e-07 | optim/dual_norm_sq: 1.397e+07 | optim/grad_norm: 2.625e+00 | optim/dampening: 1.107e+04 | optim/dn_layer_std: 3.894e+01 | optim/dn_layer_max: 2.743e+02 | optim/update_norm: 4.130e-01
micro_step: 24000 | step: 750 | tokens: 393216000 | lr: 1.000e-02 | train/loss: 6.168e+00 | train/loss_avg: 6.272e+00 | train/ppl: 4.770e+02 | train/ppl_avg: 5.296e+02 | optim/lr_eff: 8.065e-07 | optim/dual_norm_sq: 1.541e+07 | optim/grad_norm: 2.714e+00 | optim/dampening: 1.240e+04 | optim/dn_layer_std: 4.172e+01 | optim/dn_layer_max: 2.971e+02 | optim/update_norm: 3.688e-01
micro_step: 25600 | step: 800 | tokens: 419430400 | lr: 1.000e-02 | train/loss: 6.131e+00 | train/loss_avg: 6.189e+00 | train/ppl: 4.598e+02 | train/ppl_avg: 4.875e+02 | optim/lr_eff: 7.576e-07 | optim/dual_norm_sq: 1.624e+07 | optim/grad_norm: 2.639e+00 | optim/dampening: 1.320e+04 | optim/dn_layer_std: 4.270e+01 | optim/dn_layer_max: 3.056e+02 | optim/update_norm: 3.465e-01
micro_step: 27200 | step: 850 | tokens: 445644800 | lr: 1.000e-02 | train/loss: 6.155e+00 | train/loss_avg: 6.120e+00 | train/ppl: 4.710e+02 | train/ppl_avg: 4.551e+02 | optim/lr_eff: 6.224e-07 | optim/dual_norm_sq: 1.954e+07 | optim/grad_norm: 3.539e+00 | optim/dampening: 1.607e+04 | optim/dn_layer_std: 4.611e+01 | optim/dn_layer_max: 3.190e+02 | optim/update_norm: 2.847e-01
