=== Task 23 ===
config = exps_410m/config/sweep_L1_unc.yaml
lr     = 3e-4
host   = mbz-titan-3
gpu    = 0
Creating experiment directory: ./exps_410m/experiments/L1_unc/lr_3e-4
Number of parameters: 411_304_960
Number of non-embedding parameters: 308_331_520
Compiling the model...
=== Start Training from step: 0/15690, micro_step: 0/502080 ===
micro_step: 1600 | step: 50 | tokens: 26214400 | lr: 3.000e-04 | train/loss: 1.074e+01 | train/loss_avg: 1.089e+01 | train/ppl: 4.617e+04 | train/ppl_avg: 5.371e+04 | optim/lr_eff: 1.336e-07 | optim/dual_norm_sq: 1.607e+08 | optim/grad_norm: 1.241e+01 | optim/dampening: 2.245e+03 | optim/dn_layer_std: 1.292e+02 | optim/dn_layer_max: 7.602e+02 | optim/update_norm: 6.019e-02
micro_step: 3200 | step: 100 | tokens: 52428800 | lr: 3.000e-04 | train/loss: 1.040e+01 | train/loss_avg: 1.057e+01 | train/ppl: 3.288e+04 | train/ppl_avg: 3.896e+04 | optim/lr_eff: 1.714e-07 | optim/dual_norm_sq: 1.213e+08 | optim/grad_norm: 1.284e+01 | optim/dampening: 1.750e+03 | optim/dn_layer_std: 1.069e+02 | optim/dn_layer_max: 6.336e+02 | optim/update_norm: 7.754e-02
micro_step: 4800 | step: 150 | tokens: 78643200 | lr: 3.000e-04 | train/loss: 9.973e+00 | train/loss_avg: 1.020e+01 | train/ppl: 2.143e+04 | train/ppl_avg: 2.701e+04 | optim/lr_eff: 2.991e-07 | optim/dual_norm_sq: 6.679e+07 | optim/grad_norm: 1.156e+01 | optim/dampening: 1.003e+03 | optim/dn_layer_std: 7.328e+01 | optim/dn_layer_max: 4.430e+02 | optim/update_norm: 1.354e-01
micro_step: 6400 | step: 200 | tokens: 104857600 | lr: 3.000e-04 | train/loss: 9.395e+00 | train/loss_avg: 9.725e+00 | train/ppl: 1.203e+04 | train/ppl_avg: 1.673e+04 | optim/lr_eff: 4.984e-07 | optim/dual_norm_sq: 3.778e+07 | optim/grad_norm: 7.786e+00 | optim/dampening: 6.019e+02 | optim/dn_layer_std: 5.351e+01 | optim/dn_layer_max: 3.356e+02 | optim/update_norm: 2.260e-01
micro_step: 8000 | step: 250 | tokens: 131072000 | lr: 3.000e-04 | train/loss: 8.768e+00 | train/loss_avg: 9.116e+00 | train/ppl: 6.425e+03 | train/ppl_avg: 9.103e+03 | optim/lr_eff: 8.665e-07 | optim/dual_norm_sq: 2.022e+07 | optim/grad_norm: 3.455e+00 | optim/dampening: 3.462e+02 | optim/dn_layer_std: 4.009e+01 | optim/dn_layer_max: 2.555e+02 | optim/update_norm: 3.937e-01
micro_step: 9600 | step: 300 | tokens: 157286400 | lr: 3.000e-04 | train/loss: 8.040e+00 | train/loss_avg: 8.399e+00 | train/ppl: 3.101e+03 | train/ppl_avg: 4.440e+03 | optim/lr_eff: 1.644e-06 | optim/dual_norm_sq: 9.709e+06 | optim/grad_norm: 2.195e+00 | optim/dampening: 1.824e+02 | optim/dn_layer_std: 3.153e+01 | optim/dn_layer_max: 2.130e+02 | optim/update_norm: 7.491e-01
micro_step: 11200 | step: 350 | tokens: 183500800 | lr: 3.000e-04 | train/loss: 7.520e+00 | train/loss_avg: 7.769e+00 | train/ppl: 1.845e+03 | train/ppl_avg: 2.367e+03 | optim/lr_eff: 1.683e-06 | optim/dual_norm_sq: 8.907e+06 | optim/grad_norm: 2.391e+00 | optim/dampening: 1.782e+02 | optim/dn_layer_std: 3.192e+01 | optim/dn_layer_max: 2.245e+02 | optim/update_norm: 7.681e-01
micro_step: 12800 | step: 400 | tokens: 209715200 | lr: 3.000e-04 | train/loss: 7.192e+00 | train/loss_avg: 7.394e+00 | train/ppl: 1.329e+03 | train/ppl_avg: 1.627e+03 | optim/lr_eff: 1.661e-06 | optim/dual_norm_sq: 8.680e+06 | optim/grad_norm: 2.204e+00 | optim/dampening: 1.806e+02 | optim/dn_layer_std: 3.243e+01 | optim/dn_layer_max: 2.344e+02 | optim/update_norm: 7.581e-01
micro_step: 14400 | step: 450 | tokens: 235929600 | lr: 3.000e-04 | train/loss: 7.083e+00 | train/loss_avg: 7.116e+00 | train/ppl: 1.191e+03 | train/ppl_avg: 1.231e+03 | optim/lr_eff: 1.325e-06 | optim/dual_norm_sq: 1.053e+07 | optim/grad_norm: 3.249e+00 | optim/dampening: 2.264e+02 | optim/dn_layer_std: 3.562e+01 | optim/dn_layer_max: 2.589e+02 | optim/update_norm: 6.050e-01
micro_step: 16000 | step: 500 | tokens: 262144000 | lr: 3.000e-04 | train/loss: 6.692e+00 | train/loss_avg: 6.905e+00 | train/ppl: 8.060e+02 | train/ppl_avg: 9.972e+02 | optim/lr_eff: 1.528e-06 | optim/dual_norm_sq: 8.851e+06 | optim/grad_norm: 1.870e+00 | optim/dampening: 1.963e+02 | optim/dn_layer_std: 3.255e+01 | optim/dn_layer_max: 2.352e+02 | optim/update_norm: 6.980e-01
micro_step: 17600 | step: 550 | tokens: 288358400 | lr: 3.000e-04 | train/loss: 6.640e+00 | train/loss_avg: 6.731e+00 | train/ppl: 7.647e+02 | train/ppl_avg: 8.376e+02 | optim/lr_eff: 1.375e-06 | optim/dual_norm_sq: 9.625e+06 | optim/grad_norm: 2.064e+00 | optim/dampening: 2.182e+02 | optim/dn_layer_std: 3.358e+01 | optim/dn_layer_max: 2.408e+02 | optim/update_norm: 6.282e-01
